! Initial radius: 1.6587E+04 AU
! Number of timesteps:    1831
!    Time (yr)         Radius (AU)        v (km/s)         nH (cm-3)           Td (K)           Tg (K)           Avrad (mag)       Avobs (mag)
  -9.828554710E+05   1.658651025E+04   0.000000000E+00   3.000000000E+03   1.576475204E+01   1.576475204E+01   2.541043795E+00   5.698053592E+00
  -9.808897601E+05   1.658651025E+04   0.000000000E+00   3.000000000E+03   1.575863767E+01   1.575863767E+01   2.543887411E+00   5.707088264E+00
  -9.789240492E+05   1.658651025E+04   0.000000000E+00   3.000000000E+03   1.575252101E+01   1.575252101E+01   2.546734209E+00   5.716137262E+00
  -9.769583382E+05   1.658651025E+04   0.000000000E+00   3.000000000E+03   1.574640209E+01   1.574640209E+01   2.549584193E+00   5.725200607E+00
  -9.749926273E+05   1.658651025E+04   0.000000000E+00   3.000000000E+03   1.574028089E+01   1.574028089E+01   2.552437366E+00   5.734278323E+00
  -9.730269163E+05   1.658651025E+04   0.000000000E+00   3.000000000E+03   1.573415743E+01   1.573415743E+01   2.555293732E+00   5.743370432E+00
  -9.710612054E+05   1.658651025E+04   0.000000000E+00   3.000000000E+03   1.572803171E+01   1.572803171E+01   2.558153295E+00   5.752476958E+00
  -9.690954944E+05   1.658651025E+04   0.000000000E+00   3.000000000E+03   1.572190373E+01   1.572190373E+01   2.561016057E+00   5.761597922E+00
  -9.671297835E+05   1.658651025E+04   0.000000000E+00   3.000000000E+03   1.571577351E+01   1.571577351E+01   2.563882024E+00   5.770733349E+00
  -9.651640726E+05   1.658651025E+04   0.000000000E+00   3.000000000E+03   1.570964104E+01   1.570964104E+01   2.566751197E+00   5.779883260E+00
  -9.631983616E+05   1.658651025E+04   0.000000000E+00   3.000000000E+03   1.570350633E+01   1.570350633E+01   2.569623582E+00   5.789047679E+00
  -9.612326507E+05   1.658651025E+04   0.000000000E+00   3.000000000E+03   1.569736940E+01   1.569736940E+01   2.572499180E+00   5.798226629E+00
  -9.592669397E+05   1.658651025E+04   0.000000000E+00   3.000000000E+03   1.569123023E+01   1.569123023E+01   2.575377997E+00   5.807420133E+00
  -9.573012288E+05   1.658651025E+04   0.000000000E+00   3.000000000E+03   1.568508884E+01   1.568508884E+01   2.578260035E+00   5.816628214E+00
  -9.553355179E+05   1.658651025E+04   0.000000000E+00   3.000000000E+03   1.567894523E+01   1.567894523E+01   2.581145299E+00   5.825850895E+00
  -9.533698069E+05   1.658651025E+04   0.000000000E+00   3.007334699E+03   1.567279940E+01   1.567279940E+01   2.584033791E+00   5.835088199E+00
  -9.514040960E+05   1.658651025E+04   0.000000000E+00   3.021018691E+03   1.566665137E+01   1.566665137E+01   2.586925516E+00   5.844340150E+00
  -9.494383850E+05   1.658651025E+04   0.000000000E+00   3.034764947E+03   1.566050114E+01   1.566050114E+01   2.589820477E+00   5.853606770E+00
  -9.474726741E+05   1.658651025E+04   0.000000000E+00   3.048573752E+03   1.565434871E+01   1.565434871E+01   2.592718678E+00   5.862888083E+00
  -9.455069631E+05   1.658651025E+04   0.000000000E+00   3.062445390E+03   1.564819408E+01   1.564819408E+01   2.595620122E+00   5.872184112E+00
  -9.435412522E+05   1.658651025E+04   0.000000000E+00   3.076380147E+03   1.564203727E+01   1.564203727E+01   2.598524812E+00   5.881494881E+00
  -9.415755413E+05   1.658651025E+04   0.000000000E+00   3.090378309E+03   1.563587828E+01   1.563587828E+01   2.601432754E+00   5.890820413E+00
