! Initial radius: 2.5275E+04 AU
! Number of timesteps:    2131
!    Time (yr)         Radius (AU)        v (km/s)         nH (cm-3)           Td (K)           Tg (K)           Avrad (mag)       Avobs (mag)
  -9.828554710E+05   2.527493537E+04   0.000000000E+00   3.000000000E+03   1.624486901E+01   1.624486901E+01   2.322532926E+00   5.361845812E+00
  -9.808897601E+05   2.527493537E+04   0.000000000E+00   3.000000000E+03   1.624139412E+01   1.624139412E+01   2.324077145E+00   5.368326931E+00
  -9.789240492E+05   2.527493537E+04   0.000000000E+00   3.000000000E+03   1.623791838E+01   1.623791838E+01   2.325622391E+00   5.374815885E+00
  -9.769583382E+05   2.527493537E+04   0.000000000E+00   3.000000000E+03   1.623444181E+01   1.623444181E+01   2.327168664E+00   5.381312682E+00
  -9.749926273E+05   2.527493537E+04   0.000000000E+00   3.000000000E+03   1.623096441E+01   1.623096441E+01   2.328715965E+00   5.387817332E+00
  -9.730269163E+05   2.527493537E+04   0.000000000E+00   3.000000000E+03   1.622748617E+01   1.622748617E+01   2.330264295E+00   5.394329844E+00
  -9.710612054E+05   2.527493537E+04   0.000000000E+00   3.000000000E+03   1.622400711E+01   1.622400711E+01   2.331813655E+00   5.400850228E+00
  -9.690954944E+05   2.527493537E+04   0.000000000E+00   3.000000000E+03   1.622052721E+01   1.622052721E+01   2.333364045E+00   5.407378494E+00
  -9.671297835E+05   2.527493537E+04   0.000000000E+00   3.000000000E+03   1.621704649E+01   1.621704649E+01   2.334915465E+00   5.413914651E+00
  -9.651640726E+05   2.527493537E+04   0.000000000E+00   3.000000000E+03   1.621356495E+01   1.621356495E+01   2.336467917E+00   5.420458709E+00
  -9.631983616E+05   2.527493537E+04   0.000000000E+00   3.000000000E+03   1.621008258E+01   1.621008258E+01   2.338021401E+00   5.427010676E+00
  -9.612326507E+05   2.527493537E+04   0.000000000E+00   3.000000000E+03   1.620659939E+01   1.620659939E+01   2.339575918E+00   5.433570564E+00
  -9.592669397E+05   2.527493537E+04   0.000000000E+00   3.000000000E+03   1.620311539E+01   1.620311539E+01   2.341131469E+00   5.440138380E+00
  -9.573012288E+05   2.527493537E+04   0.000000000E+00   3.000000000E+03   1.619963057E+01   1.619963057E+01   2.342688054E+00   5.446714135E+00
  -9.553355179E+05   2.527493537E+04   0.000000000E+00   3.000000000E+03   1.619614493E+01   1.619614493E+01   2.344245674E+00   5.453297839E+00
  -9.533698069E+05   2.527493537E+04   0.000000000E+00   3.000000000E+03   1.619265849E+01   1.619265849E+01   2.345804329E+00   5.459889501E+00
  -9.514040960E+05   2.527493537E+04   0.000000000E+00   3.000000000E+03   1.618917123E+01   1.618917123E+01   2.347364021E+00   5.466489130E+00
  -9.494383850E+05   2.527493537E+04   0.000000000E+00   3.000000000E+03   1.618568317E+01   1.618568317E+01   2.348924750E+00   5.473096737E+00
  -9.474726741E+05   2.527493537E+04   0.000000000E+00   3.000000000E+03   1.618219430E+01   1.618219430E+01   2.350486517E+00   5.479712331E+00
  -9.455069631E+05   2.527493537E+04   0.000000000E+00   3.000000000E+03   1.617870463E+01   1.617870463E+01   2.352049322E+00   5.486335921E+00
  -9.435412522E+05   2.527493537E+04   0.000000000E+00   3.000000000E+03   1.617521416E+01   1.617521416E+01   2.353613166E+00   5.492967518E+00
  -9.415755413E+05   2.527493537E+04   0.000000000E+00   3.000000000E+03   1.617172289E+01   1.617172289E+01   2.355178050E+00   5.499607130E+00
  -9.396098303E+05   2.527493537E+04   0.000000000E+00   3.000000000E+03   1.616823083E+01   1.616823083E+01   2.356743974E+00   5.506254768E+00
  -9.376441194E+05   2.527493537E+04   0.000000000E+00   3.000000000E+03   1.616473797E+01   1.616473797E+01   2.358310939E+00   5.512910442E+00
  -9.356784084E+05   2.527493537E+04   0.000000000E+00   3.000000000E+03   1.616124432E+01   1.616124432E+01   2.359878947E+00   5.519574160E+00
  -9.337126975E+05   2.527493537E+04   0.000000000E+00   3.000000000E+03   1.615774988E+01   1.615774988E+01   2.361447997E+00   5.526245933E+00
  -9.317469865E+05   2.527493537E+04   0.000000000E+00   3.000000000E+03   1.615425465E+01   1.615425465E+01   2.363018090E+00   5.532925771E+00
  -9.297812756E+05   2.527493537E+04   0.000000000E+00   3.000000000E+03   1.615075863E+01   1.615075863E+01   2.364589227E+00   5.539613683E+00
  -9.278155647E+05   2.527493537E+04   0.000000000E+00   3.000000000E+03   1.614726183E+01   1.614726183E+01   2.366161408E+00   5.546309679E+00
  -9.258498537E+05   2.527493537E+04   0.000000000E+00   3.000000000E+03   1.614376425E+01   1.614376425E+01   2.367734635E+00   5.553013768E+00
  -9.238841428E+05   2.527493537E+04   0.000000000E+00   3.000000000E+03   1.614026589E+01   1.614026589E+01   2.369308908E+00   5.559725961E+00
  -9.219184318E+05   2.527493537E+04   0.000000000E+00   3.000000000E+03   1.613676676E+01   1.613676676E+01   2.370884228E+00   5.566446268E+00
  -9.199527209E+05   2.527493537E+04   0.000000000E+00   3.000000000E+03   1.613326685E+01   1.613326685E+01   2.372460595E+00   5.573174698E+00
  -9.179870100E+05   2.527493537E+04   0.000000000E+00   3.000000000E+03   1.612976617E+01   1.612976617E+01   2.374038010E+00   5.579911260E+00
  -9.160212990E+05   2.527493537E+04   0.000000000E+00   3.000000000E+03   1.612626472E+01   1.612626472E+01   2.375616475E+00   5.586655966E+00
  -9.140555881E+05   2.527493537E+04   0.000000000E+00   3.000000000E+03   1.612276250E+01   1.612276250E+01   2.377195988E+00   5.593408824E+00
  -9.120898771E+05   2.527493537E+04   0.000000000E+00   3.000000000E+03   1.611925951E+01   1.611925951E+01   2.378776552E+00   5.600169845E+00
  -9.101241662E+05   2.527493537E+04   0.000000000E+00   3.000022569E+03   1.611575576E+01   1.611575576E+01   2.380358166E+00   5.606939038E+00
  -9.081584552E+05   2.527493537E+04   0.000000000E+00   3.011841771E+03   1.611225125E+01   1.611225125E+01   2.381940833E+00   5.613716413E+00
  -9.061927443E+05   2.527493537E+04   0.000000000E+00   3.023707536E+03   1.610874598E+01   1.610874598E+01   2.383524551E+00   5.620501980E+00
  -9.042270334E+05   2.527493537E+04   0.000000000E+00   3.035620050E+03   1.610523996E+01   1.610523996E+01   2.385109323E+00   5.627295750E+00
  -9.022613224E+05   2.527493537E+04   0.000000000E+00   3.047579495E+03   1.610173318E+01   1.610173318E+01   2.386695148E+00   5.634097731E+00
  -9.002956115E+05   2.527493537E+04   0.000000000E+00   3.059586057E+03   1.609822565E+01   1.609822565E+01   2.388282027E+00   5.640907935E+00
  -8.983299005E+05   2.527493537E+04   0.000000000E+00   3.071639921E+03   1.609471737E+01   1.609471737E+01   2.389869962E+00   5.647726370E+00
  -8.963641896E+05   2.527493537E+04   0.000000000E+00   3.083741274E+03   1.609120834E+01   1.609120834E+01   2.391458953E+00   5.654553047E+00
  -8.943984786E+05   2.527493537E+04   0.000000000E+00   3.095890303E+03   1.608769857E+01   1.608769857E+01   2.393048999E+00   5.661387975E+00
  -8.924327677E+05   2.527493537E+04   0.000000000E+00   3.108087195E+03   1.608418805E+01   1.608418805E+01   2.394640104E+00   5.668231166E+00
  -8.904670568E+05   2.527493537E+04   0.000000000E+00   3.120332139E+03   1.608067680E+01   1.608067680E+01   2.396232266E+00   5.675082627E+00
  -8.885013458E+05   2.527493537E+04   0.000000000E+00   3.132625325E+03   1.607716480E+01   1.607716480E+01   2.397825486E+00   5.681942371E+00
  -8.865356349E+05   2.527493537E+04   0.000000000E+00   3.144966943E+03   1.607365207E+01   1.607365207E+01   2.399419766E+00   5.688810407E+00
  -8.845699239E+05   2.527493537E+04   0.000000000E+00   3.157357182E+03   1.607013861E+01   1.607013861E+01   2.401015106E+00   5.695686744E+00
  -8.826042130E+05   2.527493537E+04   0.000000000E+00   3.169796236E+03   1.606662442E+01   1.606662442E+01   2.402611507E+00   5.702571393E+00
  -8.806385021E+05   2.527493537E+04   0.000000000E+00   3.182284295E+03   1.606310950E+01   1.606310950E+01   2.404208969E+00   5.709464363E+00
  -8.786727911E+05   2.527493537E+04   0.000000000E+00   3.194821554E+03   1.605959385E+01   1.605959385E+01   2.405807493E+00   5.716365666E+00
  -8.767070802E+05   2.527493537E+04   0.000000000E+00   3.207408206E+03   1.605607747E+01   1.605607747E+01   2.407407081E+00   5.723275310E+00
  -8.747413692E+05   2.527493537E+04   0.000000000E+00   3.220044446E+03   1.605256038E+01   1.605256038E+01   2.409007731E+00   5.730193307E+00
  -8.727756583E+05   2.527493537E+04   0.000000000E+00   3.232730469E+03   1.604904257E+01   1.604904257E+01   2.410609446E+00   5.737119665E+00
  -8.708099473E+05   2.527493537E+04   0.000000000E+00   3.245466471E+03   1.604552404E+01   1.604552404E+01   2.412212226E+00   5.744054396E+00
  -8.688442364E+05   2.527493537E+04   0.000000000E+00   3.258252649E+03   1.604200479E+01   1.604200479E+01   2.413816072E+00   5.750997509E+00
  -8.668785255E+05   2.527493537E+04   0.000000000E+00   3.271089201E+03   1.603848484E+01   1.603848484E+01   2.415420983E+00   5.757949015E+00
  -8.649128145E+05   2.527493537E+04   0.000000000E+00   3.283976325E+03   1.603496417E+01   1.603496417E+01   2.417026962E+00   5.764908923E+00
  -8.629471036E+05   2.527493537E+04   0.000000000E+00   3.296914221E+03   1.603144280E+01   1.603144280E+01   2.418634009E+00   5.771877244E+00
  -8.609813926E+05   2.527493537E+04   0.000000000E+00   3.309903088E+03   1.602792072E+01   1.602792072E+01   2.420242124E+00   5.778853988E+00
  -8.590156817E+05   2.527493537E+04   0.000000000E+00   3.322943127E+03   1.602439794E+01   1.602439794E+01   2.421851309E+00   5.785839165E+00
  -8.570499707E+05   2.527493537E+04   0.000000000E+00   3.336034540E+03   1.602087446E+01   1.602087446E+01   2.423461563E+00   5.792832786E+00
  -8.550842598E+05   2.527493537E+04   0.000000000E+00   3.349177529E+03   1.601735028E+01   1.601735028E+01   2.425072888E+00   5.799834860E+00
  -8.531185489E+05   2.527493537E+04   0.000000000E+00   3.362372298E+03   1.601382541E+01   1.601382541E+01   2.426685285E+00   5.806845397E+00
  -8.511528379E+05   2.527493537E+04   0.000000000E+00   3.375619051E+03   1.601029984E+01   1.601029984E+01   2.428298753E+00   5.813864409E+00
  -8.491871270E+05   2.527493537E+04   0.000000000E+00   3.388917992E+03   1.600677359E+01   1.600677359E+01   2.429913294E+00   5.820891905E+00
  -8.472214160E+05   2.527493537E+04   0.000000000E+00   3.402269326E+03   1.600324665E+01   1.600324665E+01   2.431528909E+00   5.827927895E+00
  -8.452557051E+05   2.527493537E+04   0.000000000E+00   3.415673261E+03   1.599971902E+01   1.599971902E+01   2.433145598E+00   5.834972390E+00
  -8.432899942E+05   2.527493537E+04   0.000000000E+00   3.429130004E+03   1.599619071E+01   1.599619071E+01   2.434763362E+00   5.842025400E+00
  -8.413242832E+05   2.527493537E+04   0.000000000E+00   3.442639762E+03   1.599266172E+01   1.599266172E+01   2.436382201E+00   5.849086936E+00
  -8.393585723E+05   2.527493537E+04   0.000000000E+00   3.456202744E+03   1.598913205E+01   1.598913205E+01   2.438002117E+00   5.856157007E+00
  -8.373928613E+05   2.527493537E+04   0.000000000E+00   3.469819161E+03   1.598560171E+01   1.598560171E+01   2.439623110E+00   5.863235624E+00
  -8.354271504E+05   2.527493537E+04   0.000000000E+00   3.483489222E+03   1.598207069E+01   1.598207069E+01   2.441245181E+00   5.870322797E+00
  -8.334614394E+05   2.527493537E+04   0.000000000E+00   3.497213140E+03   1.597853901E+01   1.597853901E+01   2.442868330E+00   5.877418537E+00
  -8.314957285E+05   2.527493537E+04   0.000000000E+00   3.510991125E+03   1.597500665E+01   1.597500665E+01   2.444492558E+00   5.884522853E+00
  -8.295300176E+05   2.527493537E+04   0.000000000E+00   3.524823392E+03   1.597147364E+01   1.597147364E+01   2.446117866E+00   5.891635758E+00
  -8.275643066E+05   2.527493537E+04   0.000000000E+00   3.538710154E+03   1.596790972E+01   1.596790972E+01   2.447744255E+00   5.898757259E+00
  -8.255985957E+05   2.527493537E+04   0.000000000E+00   3.552651625E+03   1.596432336E+01   1.596432336E+01   2.449371725E+00   5.905887369E+00
  -8.236328847E+05   2.527493537E+04   0.000000000E+00   3.566648022E+03   1.596073613E+01   1.596073613E+01   2.451000278E+00   5.913026098E+00
  -8.216671738E+05   2.527493537E+04   0.000000000E+00   3.580699560E+03   1.595714805E+01   1.595714805E+01   2.452629913E+00   5.920173455E+00
  -8.197014628E+05   2.527493537E+04   0.000000000E+00   3.594806457E+03   1.595355910E+01   1.595355910E+01   2.454260632E+00   5.927329452E+00
  -8.177357519E+05   2.527493537E+04   0.000000000E+00   3.608968932E+03   1.594996929E+01   1.594996929E+01   2.455892434E+00   5.934494098E+00
  -8.157700410E+05   2.527493537E+04   0.000000000E+00   3.623187202E+03   1.594637863E+01   1.594637863E+01   2.457525322E+00   5.941667405E+00
  -8.138043300E+05   2.527493537E+04   0.000000000E+00   3.637461488E+03   1.594278711E+01   1.594278711E+01   2.459159296E+00   5.948849382E+00
  -8.118386191E+05   2.527493537E+04   0.000000000E+00   3.651792011E+03   1.593919473E+01   1.593919473E+01   2.460794356E+00   5.956040041E+00
  -8.098729081E+05   2.527493537E+04   0.000000000E+00   3.666178991E+03   1.593560150E+01   1.593560150E+01   2.462430503E+00   5.963239391E+00
  -8.079071972E+05   2.527493537E+04   0.000000000E+00   3.680622652E+03   1.593200742E+01   1.593200742E+01   2.464067738E+00   5.970447444E+00
  -8.059414863E+05   2.527493537E+04   0.000000000E+00   3.695123217E+03   1.592841248E+01   1.592841248E+01   2.465706061E+00   5.977664209E+00
  -8.039757753E+05   2.527493537E+04   0.000000000E+00   3.709680909E+03   1.592481669E+01   1.592481669E+01   2.467345474E+00   5.984889698E+00
  -8.020100644E+05   2.527493537E+04   0.000000000E+00   3.724295955E+03   1.592122004E+01   1.592122004E+01   2.468985977E+00   5.992123920E+00
  -8.000443534E+05   2.527493537E+04   0.000000000E+00   3.738968580E+03   1.591762255E+01   1.591762255E+01   2.470627571E+00   5.999366887E+00
  -7.980786425E+05   2.527493537E+04   0.000000000E+00   3.753699010E+03   1.591402421E+01   1.591402421E+01   2.472270256E+00   6.006618608E+00
  -7.961129315E+05   2.527493537E+04   0.000000000E+00   3.768487474E+03   1.591042502E+01   1.591042502E+01   2.473914033E+00   6.013879095E+00
  -7.941472206E+05   2.527493537E+04   0.000000000E+00   3.783334200E+03   1.590682498E+01   1.590682498E+01   2.475558903E+00   6.021148358E+00
  -7.921815097E+05   2.527493537E+04   0.000000000E+00   3.798239418E+03   1.590322410E+01   1.590322410E+01   2.477204867E+00   6.028426408E+00
  -7.902157987E+05   2.527493537E+04   0.000000000E+00   3.813203358E+03   1.589962237E+01   1.589962237E+01   2.478851925E+00   6.035713256E+00
  -7.882500878E+05   2.527493537E+04   0.000000000E+00   3.828226252E+03   1.589601979E+01   1.589601979E+01   2.480500078E+00   6.043008911E+00
  -7.862843768E+05   2.527493537E+04   0.000000000E+00   3.843308331E+03   1.589241638E+01   1.589241638E+01   2.482149328E+00   6.050313384E+00
  -7.843186659E+05   2.527493537E+04   0.000000000E+00   3.858449829E+03   1.588881212E+01   1.588881212E+01   2.483799673E+00   6.057626688E+00
  -7.823529549E+05   2.527493537E+04   0.000000000E+00   3.873650980E+03   1.588520701E+01   1.588520701E+01   2.485451116E+00   6.064948830E+00
