! Initial radius: 1.6176E+04 AU
! Number of timesteps:    1809
!    Time (yr)         Radius (AU)        v (km/s)         nH (cm-3)           Td (K)           Tg (K)           Avrad (mag)       Avobs (mag)
  -9.828554710E+05   1.617624471E+04   0.000000000E+00   3.000000000E+03   1.573941903E+01   1.573941903E+01   2.552839260E+00   5.713212783E+00
  -9.808897601E+05   1.617624471E+04   0.000000000E+00   3.000000000E+03   1.573316441E+01   1.573316441E+01   2.555757138E+00   5.722373883E+00
  -9.789240492E+05   1.617624471E+04   0.000000000E+00   3.000000000E+03   1.572690744E+01   1.572690744E+01   2.558678351E+00   5.731549672E+00
  -9.769583382E+05   1.617624471E+04   0.000000000E+00   3.000000000E+03   1.572064811E+01   1.572064811E+01   2.561602903E+00   5.740740175E+00
  -9.749926273E+05   1.617624471E+04   0.000000000E+00   3.000000000E+03   1.571438644E+01   1.571438644E+01   2.564530798E+00   5.749945415E+00
  -9.730269163E+05   1.617624471E+04   0.000000000E+00   3.000000000E+03   1.570812243E+01   1.570812243E+01   2.567462039E+00   5.759165415E+00
  -9.710612054E+05   1.617624471E+04   0.000000000E+00   3.000000000E+03   1.570185608E+01   1.570185608E+01   2.570396630E+00   5.768400199E+00
  -9.690954944E+05   1.617624471E+04   0.000000000E+00   3.000000000E+03   1.569558741E+01   1.569558741E+01   2.573334576E+00   5.777649792E+00
  -9.671297835E+05   1.617624471E+04   0.000000000E+00   3.000000000E+03   1.568931641E+01   1.568931641E+01   2.576275880E+00   5.786914216E+00
  -9.651640726E+05   1.617624471E+04   0.000000000E+00   3.000000000E+03   1.568304310E+01   1.568304310E+01   2.579220546E+00   5.796193495E+00
  -9.631983616E+05   1.617624471E+04   0.000000000E+00   3.000000000E+03   1.567676747E+01   1.567676747E+01   2.582168577E+00   5.805487654E+00
  -9.612326507E+05   1.617624471E+04   0.000000000E+00   3.000000000E+03   1.567048954E+01   1.567048954E+01   2.585119978E+00   5.814796716E+00
  -9.592669397E+05   1.617624471E+04   0.000000000E+00   3.000000000E+03   1.566420930E+01   1.566420930E+01   2.588074753E+00   5.824120705E+00
  -9.573012288E+05   1.617624471E+04   0.000000000E+00   3.000000000E+03   1.565792677E+01   1.565792677E+01   2.591032904E+00   5.833459644E+00
  -9.553355179E+05   1.617624471E+04   0.000000000E+00   3.005814320E+03   1.565164195E+01   1.565164195E+01   2.593994437E+00   5.842813559E+00
  -9.533698069E+05   1.617624471E+04   0.000000000E+00   3.019580206E+03   1.564535485E+01   1.564535485E+01   2.596959355E+00   5.852182473E+00
  -9.514040960E+05   1.617624471E+04   0.000000000E+00   3.033409137E+03   1.563906546E+01   1.563906546E+01   2.599927662E+00   5.861566410E+00
  -9.494383850E+05   1.617624471E+04   0.000000000E+00   3.047301400E+03   1.563277381E+01   1.563277381E+01   2.602899362E+00   5.870965393E+00
  -9.474726741E+05   1.617624471E+04   0.000000000E+00   3.061257286E+03   1.562647988E+01   1.562647988E+01   2.605874458E+00   5.880379448E+00
  -9.455069631E+05   1.617624471E+04   0.000000000E+00   3.075277087E+03   1.562018369E+01   1.562018369E+01   2.608852954E+00   5.889808599E+00
  -9.435412522E+05   1.617624471E+04   0.000000000E+00   3.089361096E+03   1.561388525E+01   1.561388525E+01   2.611834856E+00   5.899252869E+00
  -9.415755413E+05   1.617624471E+04   0.000000000E+00   3.103509605E+03   1.560758455E+01   1.560758455E+01   2.614820165E+00   5.908712282E+00
  -9.396098303E+05   1.617624471E+04   0.000000000E+00   3.117722911E+03   1.560128161E+01   1.560128161E+01   2.617808886E+00   5.918186864E+00
  -9.376441194E+05   1.617624471E+04   0.000000000E+00   3.132001311E+03   1.559497643E+01   1.559497643E+01   2.620801024E+00   5.927676639E+00
  -9.356784084E+05   1.617624471E+04   0.000000000E+00   3.146345102E+03   1.558866902E+01   1.558866902E+01   2.623796582E+00   5.937181630E+00
  -9.337126975E+05   1.617624471E+04   0.000000000E+00   3.160754584E+03   1.558235938E+01   1.558235938E+01   2.626795563E+00   5.946701862E+00
  -9.317469865E+05   1.617624471E+04   0.000000000E+00   3.175230058E+03   1.557604751E+01   1.557604751E+01   2.629797973E+00   5.956237360E+00
  -9.297812756E+05   1.617624471E+04   0.000000000E+00   3.189771826E+03   1.556973343E+01   1.556973343E+01   2.632803814E+00   5.965788148E+00
  -9.278155647E+05   1.617624471E+04   0.000000000E+00   3.204380192E+03   1.556341714E+01   1.556341714E+01   2.635813091E+00   5.975354251E+00
  -9.258498537E+05   1.617624471E+04   0.000000000E+00   3.219055461E+03   1.555709865E+01   1.555709865E+01   2.638825807E+00   5.984935692E+00
  -9.238841428E+05   1.617624471E+04   0.000000000E+00   3.233797938E+03   1.555077795E+01   1.555077795E+01   2.641841967E+00   5.994532498E+00
  -9.219184318E+05   1.617624471E+04   0.000000000E+00   3.248607933E+03   1.554445506E+01   1.554445506E+01   2.644861574E+00   6.004144692E+00
  -9.199527209E+05   1.617624471E+04   0.000000000E+00   3.263485754E+03   1.553812998E+01   1.553812998E+01   2.647884633E+00   6.013772299E+00
  -9.179870100E+05   1.617624471E+04   0.000000000E+00   3.278431711E+03   1.553180272E+01   1.553180272E+01   2.650911147E+00   6.023415344E+00
  -9.160212990E+05   1.617624471E+04   0.000000000E+00   3.293446117E+03   1.552547329E+01   1.552547329E+01   2.653941120E+00   6.033073852E+00
  -9.140555881E+05   1.617624471E+04   0.000000000E+00   3.308529286E+03   1.551914168E+01   1.551914168E+01   2.656974557E+00   6.042747847E+00
  -9.120898771E+05   1.617624471E+04   0.000000000E+00   3.323681531E+03   1.551280791E+01   1.551280791E+01   2.660011460E+00   6.052437354E+00
  -9.101241662E+05   1.617624471E+04   0.000000000E+00   3.338903170E+03   1.550647198E+01   1.550647198E+01   2.663051835E+00   6.062142398E+00
  -9.081584552E+05   1.617624471E+04   0.000000000E+00   3.354194521E+03   1.550013390E+01   1.550013390E+01   2.666095685E+00   6.071863004E+00
  -9.061927443E+05   1.617624471E+04   0.000000000E+00   3.369555902E+03   1.549379367E+01   1.549379367E+01   2.669143015E+00   6.081599197E+00
  -9.042270334E+05   1.617624471E+04   0.000000000E+00   3.384987634E+03   1.548745130E+01   1.548745130E+01   2.672193827E+00   6.091351002E+00
  -9.022613224E+05   1.617624471E+04   0.000000000E+00   3.400490040E+03   1.548110680E+01   1.548110680E+01   2.675248126E+00   6.101118444E+00
  -9.002956115E+05   1.617624471E+04   0.000000000E+00   3.416063443E+03   1.547476017E+01   1.547476017E+01   2.678305916E+00   6.110901547E+00
  -8.983299005E+05   1.617624471E+04   0.000000000E+00   3.431708169E+03   1.546841141E+01   1.546841141E+01   2.681367202E+00   6.120700338E+00
  -8.963641896E+05   1.617624471E+04   0.000000000E+00   3.447424543E+03   1.546206054E+01   1.546206054E+01   2.684431986E+00   6.130514842E+00
  -8.943984786E+05   1.617624471E+04   0.000000000E+00   3.463212895E+03   1.545570756E+01   1.545570756E+01   2.687500274E+00   6.140345083E+00
  -8.924327677E+05   1.617624471E+04   0.000000000E+00   3.479073553E+03   1.544935247E+01   1.544935247E+01   2.690572068E+00   6.150191086E+00
  -8.904670568E+05   1.617624471E+04   0.000000000E+00   3.495006849E+03   1.544299529E+01   1.544299529E+01   2.693647373E+00   6.160052878E+00
  -8.885013458E+05   1.617624471E+04   0.000000000E+00   3.511013116E+03   1.543663601E+01   1.543663601E+01   2.696726194E+00   6.169930483E+00
  -8.865356349E+05   1.617624471E+04   0.000000000E+00   3.527092687E+03   1.543027464E+01   1.543027464E+01   2.699808534E+00   6.179823926E+00
  -8.845699239E+05   1.617624471E+04   0.000000000E+00   3.543245899E+03   1.542391119E+01   1.542391119E+01   2.702894396E+00   6.189733234E+00
  -8.826042130E+05   1.617624471E+04   0.000000000E+00   3.559473089E+03   1.541754567E+01   1.541754567E+01   2.705983786E+00   6.199658431E+00
  -8.806385021E+05   1.617624471E+04   0.000000000E+00   3.575774595E+03   1.541117808E+01   1.541117808E+01   2.709076707E+00   6.209599543E+00
  -8.786727911E+05   1.617624471E+04   0.000000000E+00   3.592150758E+03   1.540480843E+01   1.540480843E+01   2.712173163E+00   6.219556596E+00
  -8.767070802E+05   1.617624471E+04   0.000000000E+00   3.608601920E+03   1.539843672E+01   1.539843672E+01   2.715273159E+00   6.229529615E+00
  -8.747413692E+05   1.617624471E+04   0.000000000E+00   3.625128424E+03   1.539206297E+01   1.539206297E+01   2.718376697E+00   6.239518625E+00
  -8.727756583E+05   1.617624471E+04   0.000000000E+00   3.641730615E+03   1.538568717E+01   1.538568717E+01   2.721483783E+00   6.249523653E+00
  -8.708099473E+05   1.617624471E+04   0.000000000E+00   3.658408840E+03   1.537930933E+01   1.537930933E+01   2.724594421E+00   6.259544723E+00
  -8.688442364E+05   1.617624471E+04   0.000000000E+00   3.675163448E+03   1.537292946E+01   1.537292946E+01   2.727708613E+00   6.269581863E+00
  -8.668785255E+05   1.617624471E+04   0.000000000E+00   3.691994787E+03   1.536654756E+01   1.536654756E+01   2.730826366E+00   6.279635097E+00
  -8.649128145E+05   1.617624471E+04   0.000000000E+00   3.708903210E+03   1.536016364E+01   1.536016364E+01   2.733947682E+00   6.289704451E+00
  -8.629471036E+05   1.617624471E+04   0.000000000E+00   3.725889069E+03   1.535377772E+01   1.535377772E+01   2.737072565E+00   6.299789951E+00
  -8.609813926E+05   1.617624471E+04   0.000000000E+00   3.742952719E+03   1.534738978E+01   1.534738978E+01   2.740201020E+00   6.309891624E+00
  -8.590156817E+05   1.617624471E+04   0.000000000E+00   3.760094516E+03   1.534099985E+01   1.534099985E+01   2.743333051E+00   6.320009494E+00
  -8.570499707E+05   1.617624471E+04   0.000000000E+00   3.777314819E+03   1.533460792E+01   1.533460792E+01   2.746468662E+00   6.330143588E+00
  -8.550842598E+05   1.617624471E+04   0.000000000E+00   3.794613986E+03   1.532821400E+01   1.532821400E+01   2.749607857E+00   6.340293933E+00
  -8.531185489E+05   1.617624471E+04   0.000000000E+00   3.811992380E+03   1.532181810E+01   1.532181810E+01   2.752750640E+00   6.350460553E+00
  -8.511528379E+05   1.617624471E+04   0.000000000E+00   3.829450362E+03   1.531542023E+01   1.531542023E+01   2.755897015E+00   6.360643475E+00
  -8.491871270E+05   1.617624471E+04   0.000000000E+00   3.846988297E+03   1.530902039E+01   1.530902039E+01   2.759046987E+00   6.370842726E+00
  -8.472214160E+05   1.617624471E+04   0.000000000E+00   3.864606552E+03   1.530261859E+01   1.530261859E+01   2.762200559E+00   6.381058331E+00
  -8.452557051E+05   1.617624471E+04   0.000000000E+00   3.882305494E+03   1.529621483E+01   1.529621483E+01   2.765357735E+00   6.391290317E+00
  -8.432899942E+05   1.617624471E+04   0.000000000E+00   3.900085492E+03   1.528980912E+01   1.528980912E+01   2.768518520E+00   6.401538709E+00
  -8.413242832E+05   1.617624471E+04   0.000000000E+00   3.917946919E+03   1.528340146E+01   1.528340146E+01   2.771682918E+00   6.411803535E+00
  -8.393585723E+05   1.617624471E+04   0.000000000E+00   3.935890147E+03   1.527699188E+01   1.527699188E+01   2.774850932E+00   6.422084820E+00
  -8.373928613E+05   1.617624471E+04   0.000000000E+00   3.953915550E+03   1.527058036E+01   1.527058036E+01   2.778022568E+00   6.432382592E+00
  -8.354271504E+05   1.617624471E+04   0.000000000E+00   3.972023505E+03   1.526416691E+01   1.526416691E+01   2.781197829E+00   6.442696876E+00
  -8.334614394E+05   1.617624471E+04   0.000000000E+00   3.990214390E+03   1.525775155E+01   1.525775155E+01   2.784376719E+00   6.453027698E+00
  -8.314957285E+05   1.617624471E+04   0.000000000E+00   4.008488584E+03   1.525133428E+01   1.525133428E+01   2.787559242E+00   6.463375087E+00
  -8.295300176E+05   1.617624471E+04   0.000000000E+00   4.026846470E+03   1.524491510E+01   1.524491510E+01   2.790745404E+00   6.473739067E+00
  -8.275643066E+05   1.617624471E+04   0.000000000E+00   4.045288431E+03   1.523849403E+01   1.523849403E+01   2.793935206E+00   6.484119665E+00
  -8.255985957E+05   1.617624471E+04   0.000000000E+00   4.063814851E+03   1.523207106E+01   1.523207106E+01   2.797128655E+00   6.494516909E+00
  -8.236328847E+05   1.617624471E+04   0.000000000E+00   4.082426118E+03   1.522564621E+01   1.522564621E+01   2.800325754E+00   6.504930825E+00
  -8.216671738E+05   1.617624471E+04   0.000000000E+00   4.101122619E+03   1.521921948E+01   1.521921948E+01   2.803526507E+00   6.515361439E+00
  -8.197014628E+05   1.617624471E+04   0.000000000E+00   4.119904746E+03   1.521279088E+01   1.521279088E+01   2.806730919E+00   6.525808779E+00
  -8.177357519E+05   1.617624471E+04   0.000000000E+00   4.138772891E+03   1.520636041E+01   1.520636041E+01   2.809938993E+00   6.536272871E+00
  -8.157700410E+05   1.617624471E+04   0.000000000E+00   4.157727447E+03   1.519992809E+01   1.519992809E+01   2.813150734E+00   6.546753743E+00
  -8.138043300E+05   1.617624471E+04   0.000000000E+00   4.176768810E+03   1.519349391E+01   1.519349391E+01   2.816366146E+00   6.557251420E+00
  -8.118386191E+05   1.617624471E+04   0.000000000E+00   4.195897378E+03   1.518705789E+01   1.518705789E+01   2.819585234E+00   6.567765930E+00
  -8.098729081E+05   1.617624471E+04   0.000000000E+00   4.215113550E+03   1.518062002E+01   1.518062002E+01   2.822808000E+00   6.578297300E+00
  -8.079071972E+05   1.617624471E+04   0.000000000E+00   4.234417727E+03   1.517418033E+01   1.517418033E+01   2.826034451E+00   6.588845557E+00
  -8.059414863E+05   1.617624471E+04   0.000000000E+00   4.253810313E+03   1.516773881E+01   1.516773881E+01   2.829264589E+00   6.599410728E+00
  -8.039757753E+05   1.617624471E+04   0.000000000E+00   4.273291711E+03   1.516129547E+01   1.516129547E+01   2.832498419E+00   6.609992841E+00
  -8.020100644E+05   1.617624471E+04   0.000000000E+00   4.292862330E+03   1.515485032E+01   1.515485032E+01   2.835735945E+00   6.620591922E+00
  -8.000443534E+05   1.617624471E+04   0.000000000E+00   4.312522578E+03   1.514840336E+01   1.514840336E+01   2.838977172E+00   6.631207998E+00
  -7.980786425E+05   1.617624471E+04   0.000000000E+00   4.332272864E+03   1.514195461E+01   1.514195461E+01   2.842222103E+00   6.641841097E+00
