! Initial radius: 5.2391E+03 AU
! Number of timesteps:    1503
!    Time (yr)         Radius (AU)        v (km/s)         nH (cm-3)           Td (K)           Tg (K)           Avrad (mag)       Avobs (mag)
  -9.828554710E+05   5.239135503E+03   0.000000000E+00   3.000000000E+03   1.512441201E+01   1.512441201E+01   2.851063533E+00   5.952455271E+00
  -9.808897601E+05   5.239135503E+03   0.000000000E+00   3.000000000E+03   1.511471971E+01   1.511471971E+01   2.855957370E+00   5.963823974E+00
  -9.789240492E+05   5.239135503E+03   0.000000000E+00   3.010265467E+03   1.510502344E+01   1.510502344E+01   2.860859607E+00   5.975214389E+00
  -9.769583382E+05   5.239135503E+03   0.000000000E+00   3.025548419E+03   1.509532322E+01   1.509532322E+01   2.865770260E+00   5.986626560E+00
  -9.749926273E+05   5.239135503E+03   0.000000000E+00   3.040908962E+03   1.508561907E+01   1.508561907E+01   2.870689341E+00   5.998060526E+00
  -9.730269163E+05   5.239135503E+03   0.000000000E+00   3.056347490E+03   1.507591102E+01   1.507591102E+01   2.875616866E+00   6.009516331E+00
  -9.710612054E+05   5.239135503E+03   0.000000000E+00   3.071864399E+03   1.506619908E+01   1.506619908E+01   2.880552849E+00   6.020994015E+00
  -9.690954944E+05   5.239135503E+03   0.000000000E+00   3.087460086E+03   1.505648328E+01   1.505648328E+01   2.885497304E+00   6.032493621E+00
  -9.671297835E+05   5.239135503E+03   0.000000000E+00   3.103134951E+03   1.504676365E+01   1.504676365E+01   2.890450247E+00   6.044015190E+00
  -9.651640726E+05   5.239135503E+03   0.000000000E+00   3.118889397E+03   1.503704020E+01   1.503704020E+01   2.895411692E+00   6.055558764E+00
  -9.631983616E+05   5.239135503E+03   0.000000000E+00   3.134723827E+03   1.502731297E+01   1.502731297E+01   2.900381652E+00   6.067124386E+00
  -9.612326507E+05   5.239135503E+03   0.000000000E+00   3.150638648E+03   1.501758197E+01   1.501758197E+01   2.905360144E+00   6.078712097E+00
  -9.592669397E+05   5.239135503E+03   0.000000000E+00   3.166634268E+03   1.500784723E+01   1.500784723E+01   2.910347181E+00   6.090321939E+00
  -9.573012288E+05   5.239135503E+03   0.000000000E+00   3.182711096E+03   1.499810877E+01   1.499810877E+01   2.915342778E+00   6.101953956E+00
  -9.553355179E+05   5.239135503E+03   0.000000000E+00   3.198869546E+03   1.498836662E+01   1.498836662E+01   2.920346951E+00   6.113608188E+00
  -9.533698069E+05   5.239135503E+03   0.000000000E+00   3.215110031E+03   1.497862080E+01   1.497862080E+01   2.925359713E+00   6.125284680E+00
  -9.514040960E+05   5.239135503E+03   0.000000000E+00   3.231432968E+03   1.496887133E+01   1.496887133E+01   2.930381079E+00   6.136983472E+00
  -9.494383850E+05   5.239135503E+03   0.000000000E+00   3.247838776E+03   1.495909198E+01   1.495909198E+01   2.935411065E+00   6.148704608E+00
  -9.474726741E+05   5.239135503E+03   0.000000000E+00   3.264327875E+03   1.494904355E+01   1.494904355E+01   2.940449684E+00   6.160448131E+00
  -9.455069631E+05   5.239135503E+03   0.000000000E+00   3.280900688E+03   1.493898936E+01   1.493898936E+01   2.945496952E+00   6.172214082E+00
  -9.435412522E+05   5.239135503E+03   0.000000000E+00   3.297557641E+03   1.492892946E+01   1.492892946E+01   2.950552884E+00   6.184002506E+00
  -9.415755413E+05   5.239135503E+03   0.000000000E+00   3.314299160E+03   1.491886388E+01   1.491886388E+01   2.955617494E+00   6.195813445E+00
  -9.396098303E+05   5.239135503E+03   0.000000000E+00   3.331125675E+03   1.490879268E+01   1.490879268E+01   2.960690798E+00   6.207646941E+00
  -9.376441194E+05   5.239135503E+03   0.000000000E+00   3.348037617E+03   1.489871590E+01   1.489871590E+01   2.965772810E+00   6.219503039E+00
