! Initial radius: 1.0000E+00 AU
! Number of timesteps:     499
!    Time (yr)         Radius (AU)        v (km/s)         nH (cm-3)           Td (K)           Tg (K)           Avrad (mag)       Avobs (mag)
  -9.120898771E+05   1.000000000E+00   0.000000000E+00   3.608367993E+03   1.441451720E+01   1.441451720E+01   3.217510492E+00   6.440255652E+00
  -9.101241662E+05   1.000000000E+00   0.000000000E+00   3.626922785E+03   1.440276086E+01   1.440276086E+01   3.223822427E+00   6.452910479E+00
  -9.081584552E+05   1.000000000E+00   0.000000000E+00   3.645572990E+03   1.439100067E+01   1.439100067E+01   3.230146745E+00   6.465590173E+00
  -9.061927443E+05   1.000000000E+00   0.000000000E+00   3.664319096E+03   1.437923674E+01   1.437923674E+01   3.236483470E+00   6.478294782E+00
  -9.042270334E+05   1.000000000E+00   0.000000000E+00   3.683161598E+03   1.436746915E+01   1.436746915E+01   3.242832625E+00   6.491024355E+00
  -9.022613224E+05   1.000000000E+00   0.000000000E+00   3.702100990E+03   1.435569799E+01   1.435569799E+01   3.249194237E+00   6.503778941E+00
  -9.002956115E+05   1.000000000E+00   0.000000000E+00   3.721137773E+03   1.434392337E+01   1.434392337E+01   3.255568327E+00   6.516558589E+00
  -8.983299005E+05   1.000000000E+00   0.000000000E+00   3.740272445E+03   1.433214539E+01   1.433214539E+01   3.261954923E+00   6.529363348E+00
  -8.963641896E+05   1.000000000E+00   0.000000000E+00   3.759505510E+03   1.432036413E+01   1.432036413E+01   3.268354047E+00   6.542193269E+00
  -8.943984786E+05   1.000000000E+00   0.000000000E+00   3.778837476E+03   1.430857971E+01   1.430857971E+01   3.274765725E+00   6.555048400E+00
  -8.924327677E+05   1.000000000E+00   0.000000000E+00   3.798268849E+03   1.429679221E+01   1.429679221E+01   3.281189980E+00   6.567928790E+00
  -8.904670568E+05   1.000000000E+00   0.000000000E+00   3.817800141E+03   1.428500175E+01   1.428500175E+01   3.287626839E+00   6.580834490E+00
  -8.885013458E+05   1.000000000E+00   0.000000000E+00   3.837431866E+03   1.427320841E+01   1.427320841E+01   3.294076325E+00   6.593765549E+00
  -8.865356349E+05   1.000000000E+00   0.000000000E+00   3.857164541E+03   1.426141231E+01   1.426141231E+01   3.300538463E+00   6.606722017E+00
  -8.845699239E+05   1.000000000E+00   0.000000000E+00   3.876998684E+03   1.424961354E+01   1.424961354E+01   3.307013278E+00   6.619703944E+00
  -8.826042130E+05   1.000000000E+00   0.000000000E+00   3.896934818E+03   1.423781221E+01   1.423781221E+01   3.313500795E+00   6.632711380E+00
  -8.806385021E+05   1.000000000E+00   0.000000000E+00   3.916973466E+03   1.422600842E+01   1.422600842E+01   3.320001039E+00   6.645744374E+00
  -8.786727911E+05   1.000000000E+00   0.000000000E+00   3.937115156E+03   1.421420228E+01   1.421420228E+01   3.326514035E+00   6.658802979E+00
  -8.767070802E+05   1.000000000E+00   0.000000000E+00   3.957360417E+03   1.420239390E+01   1.420239390E+01   3.333039808E+00   6.671887242E+00
  -8.747413692E+05   1.000000000E+00   0.000000000E+00   3.977709783E+03   1.419058337E+01   1.419058337E+01   3.339578382E+00   6.684997216E+00
  -8.727756583E+05   1.000000000E+00   0.000000000E+00   3.998163789E+03   1.417877082E+01   1.417877082E+01   3.346129784E+00   6.698132950E+00
  -8.708099473E+05   1.000000000E+00   0.000000000E+00   4.018722972E+03   1.416695634E+01   1.416695634E+01   3.352694038E+00   6.711294496E+00
  -8.688442364E+05   1.000000000E+00   0.000000000E+00   4.039387874E+03   1.415514005E+01   1.415514005E+01   3.359271169E+00   6.724481903E+00
  -8.668785255E+05   1.000000000E+00   0.000000000E+00   4.060159038E+03   1.414332205E+01   1.414332205E+01   3.365861203E+00   6.737695223E+00
  -8.649128145E+05   1.000000000E+00   0.000000000E+00   4.081037011E+03   1.413150246E+01   1.413150246E+01   3.372464164E+00   6.750934507E+00
  -8.629471036E+05   1.000000000E+00   0.000000000E+00   4.102022341E+03   1.411968138E+01   1.411968138E+01   3.379080080E+00   6.764199805E+00
  -8.609813926E+05   1.000000000E+00   0.000000000E+00   4.123115582E+03   1.410785894E+01   1.410785894E+01   3.385708973E+00   6.777491169E+00
  -8.590156817E+05   1.000000000E+00   0.000000000E+00   4.144317287E+03   1.409603524E+01   1.409603524E+01   3.392350871E+00   6.790808650E+00
  -8.570499707E+05   1.000000000E+00   0.000000000E+00   4.165628014E+03   1.408421040E+01   1.408421040E+01   3.399005799E+00   6.804152300E+00
  -8.550842598E+05   1.000000000E+00   0.000000000E+00   4.187048325E+03   1.407238454E+01   1.407238454E+01   3.405673782E+00   6.817522168E+00
  -8.531185489E+05   1.000000000E+00   0.000000000E+00   4.208578782E+03   1.406055776E+01   1.406055776E+01   3.412354846E+00   6.830918309E+00
