! Initial radius: 3.9811E+00 AU
! Number of timesteps:     656
!    Time (yr)         Radius (AU)        v (km/s)         nH (cm-3)           Td (K)           Tg (K)           Avrad (mag)       Avobs (mag)
  -9.828554710E+05   3.981071706E+00   0.000000000E+00   3.000000000E+03   1.483461070E+01   1.483461070E+01   2.998242816E+00   6.001030599E+00
  -9.808897601E+05   3.981071706E+00   0.000000000E+00   3.015426457E+03   1.482305061E+01   1.482305061E+01   3.004124214E+00   6.012823264E+00
  -9.789240492E+05   3.981071706E+00   0.000000000E+00   3.030932252E+03   1.481148373E+01   1.481148373E+01   3.010017150E+00   6.024639103E+00
  -9.769583382E+05   3.981071706E+00   0.000000000E+00   3.046517779E+03   1.479991014E+01   1.479991014E+01   3.015921645E+00   6.036478161E+00
  -9.749926273E+05   3.981071706E+00   0.000000000E+00   3.062183450E+03   1.478832990E+01   1.478832990E+01   3.021837722E+00   6.048340485E+00
  -9.730269163E+05   3.981071706E+00   0.000000000E+00   3.077929676E+03   1.477674310E+01   1.477674310E+01   3.027765404E+00   6.060226119E+00
  -9.710612054E+05   3.981071706E+00   0.000000000E+00   3.093756871E+03   1.476514979E+01   1.476514979E+01   3.033704714E+00   6.072135109E+00
  -9.690954944E+05   3.981071706E+00   0.000000000E+00   3.109665453E+03   1.475355006E+01   1.475355006E+01   3.039655675E+00   6.084067502E+00
  -9.671297835E+05   3.981071706E+00   0.000000000E+00   3.125655839E+03   1.474194398E+01   1.474194398E+01   3.045618310E+00   6.096023343E+00
  -9.651640726E+05   3.981071706E+00   0.000000000E+00   3.141728449E+03   1.473033161E+01   1.473033161E+01   3.051592640E+00   6.108002679E+00
  -9.631983616E+05   3.981071706E+00   0.000000000E+00   3.157883708E+03   1.471871305E+01   1.471871305E+01   3.057578690E+00   6.120005556E+00
  -9.612326507E+05   3.981071706E+00   0.000000000E+00   3.174122040E+03   1.470708835E+01   1.470708835E+01   3.063576483E+00   6.132032019E+00
