! Initial radius: 1.7740E+03 AU
! Number of timesteps:    1321
!    Time (yr)         Radius (AU)        v (km/s)         nH (cm-3)           Td (K)           Tg (K)           Avrad (mag)       Avobs (mag)
  -9.828554710E+05   1.773950230E+03   0.000000000E+00   3.000000000E+03   1.493346436E+01   1.493346436E+01   2.948273002E+00   5.987422701E+00
  -9.808897601E+05   1.773950230E+03   0.000000000E+00   3.013058921E+03   1.492243191E+01   1.492243191E+01   2.953821533E+00   5.999112968E+00
  -9.789240492E+05   1.773950230E+03   0.000000000E+00   3.028529589E+03   1.491139268E+01   1.491139268E+01   2.959380505E+00   6.010826060E+00
  -9.769583382E+05   1.773950230E+03   0.000000000E+00   3.044079691E+03   1.490034672E+01   1.490034672E+01   2.964949940E+00   6.022562021E+00
  -9.749926273E+05   1.773950230E+03   0.000000000E+00   3.059709636E+03   1.488929410E+01   1.488929410E+01   2.970529856E+00   6.034320896E+00
  -9.730269163E+05   1.773950230E+03   0.000000000E+00   3.075419834E+03   1.487823487E+01   1.487823487E+01   2.976120273E+00   6.046102730E+00
  -9.710612054E+05   1.773950230E+03   0.000000000E+00   3.091210696E+03   1.486716909E+01   1.486716909E+01   2.981721211E+00   6.057907568E+00
  -9.690954944E+05   1.773950230E+03   0.000000000E+00   3.107082637E+03   1.485609683E+01   1.485609683E+01   2.987332689E+00   6.069735455E+00
  -9.671297835E+05   1.773950230E+03   0.000000000E+00   3.123036073E+03   1.484501813E+01   1.484501813E+01   2.992954729E+00   6.081586435E+00
  -9.651640726E+05   1.773950230E+03   0.000000000E+00   3.139071422E+03   1.483393308E+01   1.483393308E+01   2.998587349E+00   6.093460554E+00
  -9.631983616E+05   1.773950230E+03   0.000000000E+00   3.155189106E+03   1.482284171E+01   1.482284171E+01   3.004230569E+00   6.105357856E+00
  -9.612326507E+05   1.773950230E+03   0.000000000E+00   3.171389547E+03   1.481174410E+01   1.481174410E+01   3.009884409E+00   6.117278388E+00
  -9.592669397E+05   1.773950230E+03   0.000000000E+00   3.187673169E+03   1.480064031E+01   1.480064031E+01   3.015548890E+00   6.129222194E+00
  -9.573012288E+05   1.773950230E+03   0.000000000E+00   3.204040400E+03   1.478953040E+01   1.478953040E+01   3.021224031E+00   6.141189320E+00
  -9.553355179E+05   1.773950230E+03   0.000000000E+00   3.220491670E+03   1.477841444E+01   1.477841444E+01   3.026909852E+00   6.153179812E+00
  -9.533698069E+05   1.773950230E+03   0.000000000E+00   3.237027409E+03   1.476729248E+01   1.476729248E+01   3.032606374E+00   6.165193715E+00
  -9.514040960E+05   1.773950230E+03   0.000000000E+00   3.253648051E+03   1.475616460E+01   1.475616460E+01   3.038313617E+00   6.177231074E+00
  -9.494383850E+05   1.773950230E+03   0.000000000E+00   3.270354033E+03   1.474503085E+01   1.474503085E+01   3.044031600E+00   6.189291936E+00
  -9.474726741E+05   1.773950230E+03   0.000000000E+00   3.287145792E+03   1.473389131E+01   1.473389131E+01   3.049760345E+00   6.201376347E+00
  -9.455069631E+05   1.773950230E+03   0.000000000E+00   3.304023770E+03   1.472274603E+01   1.472274603E+01   3.055499870E+00   6.213484352E+00
  -9.435412522E+05   1.773950230E+03   0.000000000E+00   3.320988407E+03   1.471159509E+01   1.471159509E+01   3.061250197E+00   6.225615998E+00
  -9.415755413E+05   1.773950230E+03   0.000000000E+00   3.338040151E+03   1.470043855E+01   1.470043855E+01   3.067011347E+00   6.237771330E+00
  -9.396098303E+05   1.773950230E+03   0.000000000E+00   3.355179447E+03   1.468927647E+01   1.468927647E+01   3.072783338E+00   6.249950395E+00
  -9.376441194E+05   1.773950230E+03   0.000000000E+00   3.372406746E+03   1.467810894E+01   1.467810894E+01   3.078566192E+00   6.262153239E+00
  -9.356784084E+05   1.773950230E+03   0.000000000E+00   3.389722499E+03   1.466693601E+01   1.466693601E+01   3.084359929E+00   6.274379910E+00
  -9.337126975E+05   1.773950230E+03   0.000000000E+00   3.407127160E+03   1.465575775E+01   1.465575775E+01   3.090164570E+00   6.286630452E+00
  -9.317469865E+05   1.773950230E+03   0.000000000E+00   3.424621186E+03   1.464457424E+01   1.464457424E+01   3.095980134E+00   6.298904913E+00
  -9.297812756E+05   1.773950230E+03   0.000000000E+00   3.442205036E+03   1.463338554E+01   1.463338554E+01   3.101806644E+00   6.311203340E+00
  -9.278155647E+05   1.773950230E+03   0.000000000E+00   3.459879171E+03   1.462219172E+01   1.462219172E+01   3.107644118E+00   6.323525779E+00
  -9.258498537E+05   1.773950230E+03   0.000000000E+00   3.477644055E+03   1.461099286E+01   1.461099286E+01   3.113492579E+00   6.335872277E+00
  -9.238841428E+05   1.773950230E+03   0.000000000E+00   3.495500153E+03   1.459978902E+01   1.459978902E+01   3.119352046E+00   6.348242881E+00
  -9.219184318E+05   1.773950230E+03   0.000000000E+00   3.513447934E+03   1.458858029E+01   1.458858029E+01   3.125222541E+00   6.360637639E+00
  -9.199527209E+05   1.773950230E+03   0.000000000E+00   3.531487868E+03   1.457736673E+01   1.457736673E+01   3.131104083E+00   6.373056597E+00
  -9.179870100E+05   1.773950230E+03   0.000000000E+00   3.549620429E+03   1.456614841E+01   1.456614841E+01   3.136996694E+00   6.385499803E+00
  -9.160212990E+05   1.773950230E+03   0.000000000E+00   3.567846093E+03   1.455492541E+01   1.455492541E+01   3.142900395E+00   6.397967303E+00
  -9.140555881E+05   1.773950230E+03   0.000000000E+00   3.586165336E+03   1.454369781E+01   1.454369781E+01   3.148815207E+00   6.410459147E+00
  -9.120898771E+05   1.773950230E+03   0.000000000E+00   3.604578641E+03   1.453246567E+01   1.453246567E+01   3.154741150E+00   6.422975380E+00
  -9.101241662E+05   1.773950230E+03   0.000000000E+00   3.623086490E+03   1.452122908E+01   1.452122908E+01   3.160678245E+00   6.435516050E+00
  -9.081584552E+05   1.773950230E+03   0.000000000E+00   3.641689367E+03   1.450998811E+01   1.450998811E+01   3.166626513E+00   6.448081206E+00
  -9.061927443E+05   1.773950230E+03   0.000000000E+00   3.660387762E+03   1.449874284E+01   1.449874284E+01   3.172585976E+00   6.460670895E+00
  -9.042270334E+05   1.773950230E+03   0.000000000E+00   3.679182165E+03   1.448749335E+01   1.448749335E+01   3.178556655E+00   6.473285165E+00
