! Initial radius: 1.0515E+03 AU
! Number of timesteps:    1243
!    Time (yr)         Radius (AU)        v (km/s)         nH (cm-3)           Td (K)           Tg (K)           Avrad (mag)       Avobs (mag)
  -9.828554710E+05   1.051523326E+03   0.000000000E+00   3.000000000E+03   1.489287477E+01   1.489287477E+01   2.968721368E+00   5.992710360E+00
  -9.808897601E+05   1.051523326E+03   0.000000000E+00   3.014599784E+03   1.488162354E+01   1.488162354E+01   2.974406542E+00   6.004443620E+00
  -9.789240492E+05   1.051523326E+03   0.000000000E+00   3.030093306E+03   1.487036550E+01   1.487036550E+01   2.980102604E+00   6.016199853E+00
  -9.769583382E+05   1.051523326E+03   0.000000000E+00   3.045666456E+03   1.485910073E+01   1.485910073E+01   2.985809574E+00   6.027979103E+00
  -9.749926273E+05   1.051523326E+03   0.000000000E+00   3.061319644E+03   1.484782929E+01   1.484782929E+01   2.991527472E+00   6.039781417E+00
  -9.730269163E+05   1.051523326E+03   0.000000000E+00   3.077053282E+03   1.483655124E+01   1.483655124E+01   2.997256321E+00   6.051606838E+00
  -9.710612054E+05   1.051523326E+03   0.000000000E+00   3.092867783E+03   1.482526665E+01   1.482526665E+01   3.002996141E+00   6.063455413E+00
  -9.690954944E+05   1.051523326E+03   0.000000000E+00   3.108763563E+03   1.481397558E+01   1.481397558E+01   3.008746952E+00   6.075327186E+00
  -9.671297835E+05   1.051523326E+03   0.000000000E+00   3.124741039E+03   1.480267809E+01   1.480267809E+01   3.014508776E+00   6.087222203E+00
  -9.651640726E+05   1.051523326E+03   0.000000000E+00   3.140800631E+03   1.479137426E+01   1.479137426E+01   3.020281635E+00   6.099140510E+00
  -9.631983616E+05   1.051523326E+03   0.000000000E+00   3.156942761E+03   1.478006414E+01   1.478006414E+01   3.026065548E+00   6.111082152E+00
  -9.612326507E+05   1.051523326E+03   0.000000000E+00   3.173167853E+03   1.476874781E+01   1.476874781E+01   3.031860538E+00   6.123047174E+00
  -9.592669397E+05   1.051523326E+03   0.000000000E+00   3.189476335E+03   1.475742534E+01   1.475742534E+01   3.037666626E+00   6.135035624E+00
