! Initial radius: 3.9811E+02 AU
! Number of timesteps:    1135
!    Time (yr)         Radius (AU)        v (km/s)         nH (cm-3)           Td (K)           Tg (K)           Avrad (mag)       Avobs (mag)
  -9.828554710E+05   3.981071706E+02   0.000000000E+00   3.000000000E+03   1.485638240E+01   1.485638240E+01   2.987187867E+00   5.997370664E+00
  -9.808897601E+05   3.981071706E+02   0.000000000E+00   3.015310251E+03   1.484493696E+01   1.484493696E+01   2.992995949E+00   6.009138489E+00
  -9.789240492E+05   3.981071706E+02   0.000000000E+00   3.030814320E+03   1.483348472E+01   1.483348472E+01   2.998815324E+00   6.020929403E+00
  -9.769583382E+05   3.981071706E+02   0.000000000E+00   3.046398107E+03   1.482202576E+01   1.482202576E+01   3.004646014E+00   6.032743454E+00
  -9.749926273E+05   3.981071706E+02   0.000000000E+00   3.062062022E+03   1.481056013E+01   1.481056013E+01   3.010488041E+00   6.044580685E+00
  -9.730269163E+05   3.981071706E+02   0.000000000E+00   3.077806478E+03   1.479908792E+01   1.479908792E+01   3.016341426E+00   6.056441143E+00
  -9.710612054E+05   3.981071706E+02   0.000000000E+00   3.093631889E+03   1.478760918E+01   1.478760918E+01   3.022206193E+00   6.068324874E+00
  -9.690954944E+05   3.981071706E+02   0.000000000E+00   3.109538670E+03   1.477612400E+01   1.477612400E+01   3.028082362E+00   6.080231922E+00
  -9.671297835E+05   3.981071706E+02   0.000000000E+00   3.125527241E+03   1.476463243E+01   1.476463243E+01   3.033969957E+00   6.092162334E+00
  -9.651640726E+05   3.981071706E+02   0.000000000E+00   3.141598021E+03   1.475313455E+01   1.475313455E+01   3.039868999E+00   6.104116155E+00
  -9.631983616E+05   3.981071706E+02   0.000000000E+00   3.157751434E+03   1.474163043E+01   1.474163043E+01   3.045779511E+00   6.116093431E+00
  -9.612326507E+05   3.981071706E+02   0.000000000E+00   3.173987904E+03   1.473012015E+01   1.473012015E+01   3.051701514E+00   6.128094209E+00
  -9.592669397E+05   3.981071706E+02   0.000000000E+00   3.190307858E+03   1.471860377E+01   1.471860377E+01   3.057635033E+00   6.140118534E+00
  -9.573012288E+05   3.981071706E+02   0.000000000E+00   3.206711726E+03   1.470708137E+01   1.470708137E+01   3.063580088E+00   6.152166453E+00
  -9.553355179E+05   3.981071706E+02   0.000000000E+00   3.223199939E+03   1.469555302E+01   1.469555302E+01   3.069536702E+00   6.164238012E+00
  -9.533698069E+05   3.981071706E+02   0.000000000E+00   3.239772931E+03   1.468401881E+01   1.468401881E+01   3.075504897E+00   6.176333258E+00
  -9.514040960E+05   3.981071706E+02   0.000000000E+00   3.256431138E+03   1.467247879E+01   1.467247879E+01   3.081484697E+00   6.188452236E+00
  -9.494383850E+05   3.981071706E+02   0.000000000E+00   3.273174998E+03   1.466093306E+01   1.466093306E+01   3.087476124E+00   6.200594994E+00
  -9.474726741E+05   3.981071706E+02   0.000000000E+00   3.290004951E+03   1.464938168E+01   1.464938168E+01   3.093479199E+00   6.212761577E+00
  -9.455069631E+05   3.981071706E+02   0.000000000E+00   3.306921440E+03   1.463782473E+01   1.463782473E+01   3.099493947E+00   6.224952034E+00
  -9.435412522E+05   3.981071706E+02   0.000000000E+00   3.323924909E+03   1.462626229E+01   1.462626229E+01   3.105520390E+00   6.237166410E+00
  -9.415755413E+05   3.981071706E+02   0.000000000E+00   3.341015807E+03   1.461469444E+01   1.461469444E+01   3.111558550E+00   6.249404753E+00
  -9.396098303E+05   3.981071706E+02   0.000000000E+00   3.358194583E+03   1.460312125E+01   1.460312125E+01   3.117608450E+00   6.261667110E+00
  -9.376441194E+05   3.981071706E+02   0.000000000E+00   3.375461688E+03   1.459154281E+01   1.459154281E+01   3.123670113E+00   6.273953527E+00
  -9.356784084E+05   3.981071706E+02   0.000000000E+00   3.392817577E+03   1.457995920E+01   1.457995920E+01   3.129743562E+00   6.286264052E+00
  -9.337126975E+05   3.981071706E+02   0.000000000E+00   3.410262706E+03   1.456837050E+01   1.456837050E+01   3.135828819E+00   6.298598733E+00
  -9.317469865E+05   3.981071706E+02   0.000000000E+00   3.427797534E+03   1.455677678E+01   1.455677678E+01   3.141925909E+00   6.310957616E+00
  -9.297812756E+05   3.981071706E+02   0.000000000E+00   3.445422522E+03   1.454517814E+01   1.454517814E+01   3.148034853E+00   6.323340749E+00
  -9.278155647E+05   3.981071706E+02   0.000000000E+00   3.463138134E+03   1.453357465E+01   1.453357465E+01   3.154155675E+00   6.335748180E+00
  -9.258498537E+05   3.981071706E+02   0.000000000E+00   3.480944836E+03   1.452196639E+01   1.452196639E+01   3.160288398E+00   6.348179957E+00
  -9.238841428E+05   3.981071706E+02   0.000000000E+00   3.498843096E+03   1.451035346E+01   1.451035346E+01   3.166433045E+00   6.360636126E+00
  -9.219184318E+05   3.981071706E+02   0.000000000E+00   3.516833385E+03   1.449873593E+01   1.449873593E+01   3.172589639E+00   6.373116737E+00
  -9.199527209E+05   3.981071706E+02   0.000000000E+00   3.534916177E+03   1.448711390E+01   1.448711390E+01   3.178758204E+00   6.385621837E+00
  -9.179870100E+05   3.981071706E+02   0.000000000E+00   3.553091946E+03   1.447548744E+01   1.447548744E+01   3.184938763E+00   6.398151473E+00
  -9.160212990E+05   3.981071706E+02   0.000000000E+00   3.571361171E+03   1.446385665E+01   1.446385665E+01   3.191131338E+00   6.410705695E+00
  -9.140555881E+05   3.981071706E+02   0.000000000E+00   3.589724332E+03   1.445222160E+01   1.445222160E+01   3.197335954E+00   6.423284551E+00
  -9.120898771E+05   3.981071706E+02   0.000000000E+00   3.608181912E+03   1.444058240E+01   1.444058240E+01   3.203552634E+00   6.435888088E+00
  -9.101241662E+05   3.981071706E+02   0.000000000E+00   3.626734398E+03   1.442893912E+01   1.442893912E+01   3.209781401E+00   6.448516355E+00
  -9.081584552E+05   3.981071706E+02   0.000000000E+00   3.645382276E+03   1.441729187E+01   1.441729187E+01   3.216022278E+00   6.461169401E+00
  -9.061927443E+05   3.981071706E+02   0.000000000E+00   3.664126038E+03   1.440564072E+01   1.440564072E+01   3.222275291E+00   6.473847275E+00
  -9.042270334E+05   3.981071706E+02   0.000000000E+00   3.682966176E+03   1.439398577E+01   1.439398577E+01   3.228540461E+00   6.486550024E+00
  -9.022613224E+05   3.981071706E+02   0.000000000E+00   3.701903186E+03   1.438232711E+01   1.438232711E+01   3.234817812E+00   6.499277699E+00
  -9.002956115E+05   3.981071706E+02   0.000000000E+00   3.720937566E+03   1.437066483E+01   1.437066483E+01   3.241107369E+00   6.512030347E+00
  -8.983299005E+05   3.981071706E+02   0.000000000E+00   3.740069816E+03   1.435899903E+01   1.435899903E+01   3.247409155E+00   6.524808018E+00
  -8.963641896E+05   3.981071706E+02   0.000000000E+00   3.759300440E+03   1.434732980E+01   1.434732980E+01   3.253723194E+00   6.537610761E+00
  -8.943984786E+05   3.981071706E+02   0.000000000E+00   3.778629945E+03   1.433565723E+01   1.433565723E+01   3.260049509E+00   6.550438625E+00
  -8.924327677E+05   3.981071706E+02   0.000000000E+00   3.798058837E+03   1.432398143E+01   1.432398143E+01   3.266388124E+00   6.563291659E+00
  -8.904670568E+05   3.981071706E+02   0.000000000E+00   3.817587628E+03   1.431230248E+01   1.431230248E+01   3.272739064E+00   6.576169913E+00
  -8.885013458E+05   3.981071706E+02   0.000000000E+00   3.837216832E+03   1.430062048E+01   1.430062048E+01   3.279102353E+00   6.589073436E+00
  -8.865356349E+05   3.981071706E+02   0.000000000E+00   3.856946965E+03   1.428893553E+01   1.428893553E+01   3.285478013E+00   6.602002278E+00
  -8.845699239E+05   3.981071706E+02   0.000000000E+00   3.876778546E+03   1.427724773E+01   1.427724773E+01   3.291866071E+00   6.614956489E+00
  -8.826042130E+05   3.981071706E+02   0.000000000E+00   3.896712097E+03   1.426555717E+01   1.426555717E+01   3.298266548E+00   6.627936118E+00
  -8.806385021E+05   3.981071706E+02   0.000000000E+00   3.916748142E+03   1.425386397E+01   1.425386397E+01   3.304679470E+00   6.640941215E+00
  -8.786727911E+05   3.981071706E+02   0.000000000E+00   3.936887208E+03   1.424216821E+01   1.424216821E+01   3.311104861E+00   6.653971830E+00
  -8.767070802E+05   3.981071706E+02   0.000000000E+00   3.957129824E+03   1.423047000E+01   1.423047000E+01   3.317542746E+00   6.667028014E+00
  -8.747413692E+05   3.981071706E+02   0.000000000E+00   3.977476524E+03   1.421876944E+01   1.421876944E+01   3.323993147E+00   6.680109816E+00
  -8.727756583E+05   3.981071706E+02   0.000000000E+00   3.997927842E+03   1.420706663E+01   1.420706663E+01   3.330456090E+00   6.693217286E+00
  -8.708099473E+05   3.981071706E+02   0.000000000E+00   4.018484316E+03   1.419536168E+01   1.419536168E+01   3.336931600E+00   6.706350475E+00
  -8.688442364E+05   3.981071706E+02   0.000000000E+00   4.039146487E+03   1.418365469E+01   1.418365469E+01   3.343419700E+00   6.719509434E+00
  -8.668785255E+05   3.981071706E+02   0.000000000E+00   4.059914899E+03   1.417194577E+01   1.417194577E+01   3.349920415E+00   6.732694213E+00
  -8.649128145E+05   3.981071706E+02   0.000000000E+00   4.080790097E+03   1.416023502E+01   1.416023502E+01   3.356433769E+00   6.745904863E+00
  -8.629471036E+05   3.981071706E+02   0.000000000E+00   4.101772631E+03   1.414852254E+01   1.414852254E+01   3.362959788E+00   6.759141434E+00
  -8.609813926E+05   3.981071706E+02   0.000000000E+00   4.122863052E+03   1.413680846E+01   1.413680846E+01   3.369498495E+00   6.772403978E+00
  -8.590156817E+05   3.981071706E+02   0.000000000E+00   4.144061916E+03   1.412509287E+01   1.412509287E+01   3.376049916E+00   6.785692544E+00
  -8.570499707E+05   3.981071706E+02   0.000000000E+00   4.165369780E+03   1.411337588E+01   1.411337588E+01   3.382614074E+00   6.799007185E+00
  -8.550842598E+05   3.981071706E+02   0.000000000E+00   4.186787204E+03   1.410165761E+01   1.410165761E+01   3.389190996E+00   6.812347952E+00
  -8.531185489E+05   3.981071706E+02   0.000000000E+00   4.208314752E+03   1.408993817E+01   1.408993817E+01   3.395780706E+00   6.825714895E+00
  -8.511528379E+05   3.981071706E+02   0.000000000E+00   4.229952989E+03   1.407821766E+01   1.407821766E+01   3.402383228E+00   6.839108067E+00
  -8.491871270E+05   3.981071706E+02   0.000000000E+00   4.251702486E+03   1.406649620E+01   1.406649620E+01   3.408998587E+00   6.852527518E+00
  -8.472214160E+05   3.981071706E+02   0.000000000E+00   4.273563814E+03   1.405477390E+01   1.405477390E+01   3.415626809E+00   6.865973300E+00
  -8.452557051E+05   3.981071706E+02   0.000000000E+00   4.295537549E+03   1.404305088E+01   1.404305088E+01   3.422267918E+00   6.879445465E+00
  -8.432899942E+05   3.981071706E+02   0.000000000E+00   4.317624267E+03   1.403132725E+01   1.403132725E+01   3.428921940E+00   6.892944065E+00
  -8.413242832E+05   3.981071706E+02   0.000000000E+00   4.339824551E+03   1.401960313E+01   1.401960313E+01   3.435588900E+00   6.906469151E+00
  -8.393585723E+05   3.981071706E+02   0.000000000E+00   4.362138983E+03   1.400787864E+01   1.400787864E+01   3.442268822E+00   6.920020775E+00
