! Initial radius: 1.6029E+04 AU
! Number of timesteps:    1798
!    Time (yr)         Radius (AU)        v (km/s)         nH (cm-3)           Td (K)           Tg (K)           Avrad (mag)       Avobs (mag)
  -9.828554710E+05   1.602906615E+04   0.000000000E+00   3.000000000E+03   1.573016450E+01   1.573016450E+01   2.557157435E+00   5.718754906E+00
  -9.808897601E+05   1.602906615E+04   0.000000000E+00   3.000000000E+03   1.572385863E+01   1.572385863E+01   2.560102570E+00   5.727962295E+00
  -9.789240492E+05   1.602906615E+04   0.000000000E+00   3.000000000E+03   1.571755036E+01   1.571755036E+01   2.563051097E+00   5.737184508E+00
  -9.769583382E+05   1.602906615E+04   0.000000000E+00   3.000000000E+03   1.571123972E+01   1.571123972E+01   2.566003020E+00   5.746421570E+00
  -9.749926273E+05   1.602906615E+04   0.000000000E+00   3.000000000E+03   1.570492671E+01   1.570492671E+01   2.568958342E+00   5.755673503E+00
  -9.730269163E+05   1.602906615E+04   0.000000000E+00   3.000000000E+03   1.569861133E+01   1.569861133E+01   2.571917069E+00   5.764940332E+00
  -9.710612054E+05   1.602906615E+04   0.000000000E+00   3.000000000E+03   1.569229359E+01   1.569229359E+01   2.574879203E+00   5.774222081E+00
  -9.690954944E+05   1.602906615E+04   0.000000000E+00   3.000000000E+03   1.568597349E+01   1.568597349E+01   2.577844748E+00   5.783518775E+00
  -9.671297835E+05   1.602906615E+04   0.000000000E+00   3.000000000E+03   1.567965104E+01   1.567965104E+01   2.580813709E+00   5.792830436E+00
  -9.651640726E+05   1.602906615E+04   0.000000000E+00   3.000000000E+03   1.567332625E+01   1.567332625E+01   2.583786090E+00   5.802157089E+00
  -9.631983616E+05   1.602906615E+04   0.000000000E+00   3.000000000E+03   1.566699912E+01   1.566699912E+01   2.586761894E+00   5.811498758E+00
  -9.612326507E+05   1.602906615E+04   0.000000000E+00   3.000000000E+03   1.566066966E+01   1.566066966E+01   2.589741125E+00   5.820855468E+00
  -9.592669397E+05   1.602906615E+04   0.000000000E+00   3.000000000E+03   1.565433786E+01   1.565433786E+01   2.592723787E+00   5.830227243E+00
  -9.573012288E+05   1.602906615E+04   0.000000000E+00   3.000000000E+03   1.564800375E+01   1.564800375E+01   2.595709885E+00   5.839614106E+00
  -9.553355179E+05   1.602906615E+04   0.000000000E+00   3.010242774E+03   1.564166732E+01   1.564166732E+01   2.598699421E+00   5.849016083E+00
  -9.533698069E+05   1.602906615E+04   0.000000000E+00   3.024061400E+03   1.563532858E+01   1.563532858E+01   2.601692401E+00   5.858433197E+00
  -9.514040960E+05   1.602906615E+04   0.000000000E+00   3.037943461E+03   1.562898753E+01   1.562898753E+01   2.604688828E+00   5.867865472E+00
  -9.494383850E+05   1.602906615E+04   0.000000000E+00   3.051889248E+03   1.562264419E+01   1.562264419E+01   2.607688706E+00   5.877312935E+00
  -9.474726741E+05   1.602906615E+04   0.000000000E+00   3.065899053E+03   1.561629855E+01   1.561629855E+01   2.610692039E+00   5.886775608E+00
  -9.455069631E+05   1.602906615E+04   0.000000000E+00   3.079973172E+03   1.560995062E+01   1.560995062E+01   2.613698831E+00   5.896253516E+00
  -9.435412522E+05   1.602906615E+04   0.000000000E+00   3.094111898E+03   1.560360041E+01   1.560360041E+01   2.616709086E+00   5.905746684E+00
  -9.415755413E+05   1.602906615E+04   0.000000000E+00   3.108315528E+03   1.559724793E+01   1.559724793E+01   2.619722808E+00   5.915255136E+00
  -9.396098303E+05   1.602906615E+04   0.000000000E+00   3.122584360E+03   1.559089318E+01   1.559089318E+01   2.622740001E+00   5.924778897E+00
  -9.376441194E+05   1.602906615E+04   0.000000000E+00   3.136918695E+03   1.558453616E+01   1.558453616E+01   2.625760669E+00   5.934317992E+00
  -9.356784084E+05   1.602906615E+04   0.000000000E+00   3.151318831E+03   1.557817688E+01   1.557817688E+01   2.628784816E+00   5.943872445E+00
  -9.337126975E+05   1.602906615E+04   0.000000000E+00   3.165785072E+03   1.557181535E+01   1.557181535E+01   2.631812446E+00   5.953442281E+00
  -9.317469865E+05   1.602906615E+04   0.000000000E+00   3.180317720E+03   1.556545158E+01   1.556545158E+01   2.634843563E+00   5.963027524E+00
  -9.297812756E+05   1.602906615E+04   0.000000000E+00   3.194917081E+03   1.555908556E+01   1.555908556E+01   2.637878171E+00   5.972628201E+00
  -9.278155647E+05   1.602906615E+04   0.000000000E+00   3.209583461E+03   1.555271731E+01   1.555271731E+01   2.640916274E+00   5.982244334E+00
  -9.258498537E+05   1.602906615E+04   0.000000000E+00   3.224317168E+03   1.554634683E+01   1.554634683E+01   2.643957876E+00   5.991875950E+00
  -9.238841428E+05   1.602906615E+04   0.000000000E+00   3.239118510E+03   1.553997412E+01   1.553997412E+01   2.647002981E+00   6.001523074E+00
  -9.219184318E+05   1.602906615E+04   0.000000000E+00   3.253987798E+03   1.553359920E+01   1.553359920E+01   2.650051593E+00   6.011185729E+00
  -9.199527209E+05   1.602906615E+04   0.000000000E+00   3.268925345E+03   1.552722207E+01   1.552722207E+01   2.653103716E+00   6.020863942E+00
  -9.179870100E+05   1.602906615E+04   0.000000000E+00   3.283931462E+03   1.552084273E+01   1.552084273E+01   2.656159355E+00   6.030557736E+00
