! Initial radius: 1.1298E+02 AU
! Number of timesteps:    1001
!    Time (yr)         Radius (AU)        v (km/s)         nH (cm-3)           Td (K)           Tg (K)           Avrad (mag)       Avobs (mag)
  -9.828554710E+05   1.129807434E+02   0.000000000E+00   3.000000000E+03   1.484066743E+01   1.484066743E+01   2.995164560E+00   5.999813080E+00
  -9.808897601E+05   1.129807434E+02   0.000000000E+00   3.015416863E+03   1.482913914E+01   1.482913914E+01   3.001025564E+00   6.011597634E+00
  -9.789240492E+05   1.129807434E+02   0.000000000E+00   3.030922514E+03   1.481760406E+01   1.481760406E+01   3.006898037E+00   6.023405335E+00
  -9.769583382E+05   1.129807434E+02   0.000000000E+00   3.046507898E+03   1.480606226E+01   1.480606226E+01   3.012782001E+00   6.035236227E+00
  -9.749926273E+05   1.129807434E+02   0.000000000E+00   3.062173424E+03   1.479451382E+01   1.479451382E+01   3.018677480E+00   6.047090358E+00
  -9.730269163E+05   1.129807434E+02   0.000000000E+00   3.077919504E+03   1.478295879E+01   1.478295879E+01   3.024584494E+00   6.058967772E+00
  -9.710612054E+05   1.129807434E+02   0.000000000E+00   3.093746552E+03   1.477139726E+01   1.477139726E+01   3.030503068E+00   6.070868515E+00
  -9.690954944E+05   1.129807434E+02   0.000000000E+00   3.109654985E+03   1.475982930E+01   1.475982930E+01   3.036433223E+00   6.082792633E+00
  -9.671297835E+05   1.129807434E+02   0.000000000E+00   3.125645220E+03   1.474825497E+01   1.474825497E+01   3.042374982E+00   6.094740172E+00
  -9.651640726E+05   1.129807434E+02   0.000000000E+00   3.141717680E+03   1.473667436E+01   1.473667436E+01   3.048328369E+00   6.106711177E+00
  -9.631983616E+05   1.129807434E+02   0.000000000E+00   3.157872787E+03   1.472508753E+01   1.472508753E+01   3.054293405E+00   6.118705696E+00
  -9.612326507E+05   1.129807434E+02   0.000000000E+00   3.174110965E+03   1.471349457E+01   1.471349457E+01   3.060270114E+00   6.130723773E+00
  -9.592669397E+05   1.129807434E+02   0.000000000E+00   3.190432641E+03   1.470189554E+01   1.470189554E+01   3.066258518E+00   6.142765456E+00
  -9.573012288E+05   1.129807434E+02   0.000000000E+00   3.206838246E+03   1.469029051E+01   1.469029051E+01   3.072258640E+00   6.154830790E+00
  -9.553355179E+05   1.129807434E+02   0.000000000E+00   3.223328211E+03   1.467867958E+01   1.467867958E+01   3.078270503E+00   6.166919823E+00
  -9.533698069E+05   1.129807434E+02   0.000000000E+00   3.239902969E+03   1.466706281E+01   1.466706281E+01   3.084294131E+00   6.179032601E+00
  -9.514040960E+05   1.129807434E+02   0.000000000E+00   3.256562956E+03   1.465544028E+01   1.465544028E+01   3.090329545E+00   6.191169169E+00
  -9.494383850E+05   1.129807434E+02   0.000000000E+00   3.273308611E+03   1.464381207E+01   1.464381207E+01   3.096376770E+00   6.203329576E+00
