! Initial radius: 2.8259E+03 AU
! Number of timesteps:    1388
!    Time (yr)         Radius (AU)        v (km/s)         nH (cm-3)           Td (K)           Tg (K)           Avrad (mag)       Avobs (mag)
  -9.828554710E+05   2.825850091E+03   0.000000000E+00   3.000000000E+03   1.499175562E+01   1.499175562E+01   2.918605392E+00   5.978661196E+00
  -9.808897601E+05   2.825850091E+03   0.000000000E+00   3.009426482E+03   1.498135085E+01   1.498135085E+01   2.923954835E+00   5.990274843E+00
  -9.789240492E+05   2.825850091E+03   0.000000000E+00   3.024843385E+03   1.497094192E+01   1.497094192E+01   2.929314083E+00   6.001911050E+00
  -9.769583382E+05   2.825850091E+03   0.000000000E+00   3.040339266E+03   1.496052885E+01   1.496052885E+01   2.934683153E+00   6.013569861E+00
  -9.749926273E+05   2.825850091E+03   0.000000000E+00   3.055914530E+03   1.494981617E+01   1.494981617E+01   2.940062064E+00   6.025251319E+00
  -9.730269163E+05   2.825850091E+03   0.000000000E+00   3.071569585E+03   1.493908118E+01   1.493908118E+01   2.945450834E+00   6.036955468E+00
  -9.710612054E+05   2.825850091E+03   0.000000000E+00   3.087304838E+03   1.492833967E+01   1.492833967E+01   2.950849482E+00   6.048682353E+00
  -9.690954944E+05   2.825850091E+03   0.000000000E+00   3.103120701E+03   1.491759170E+01   1.491759170E+01   2.956258024E+00   6.060432018E+00
  -9.671297835E+05   2.825850091E+03   0.000000000E+00   3.119017587E+03   1.490683733E+01   1.490683733E+01   2.961676479E+00   6.072204507E+00
  -9.651640726E+05   2.825850091E+03   0.000000000E+00   3.134995910E+03   1.489607659E+01   1.489607659E+01   2.967104866E+00   6.083999864E+00
  -9.631983616E+05   2.825850091E+03   0.000000000E+00   3.151056089E+03   1.488530956E+01   1.488530956E+01   2.972543202E+00   6.095818133E+00
  -9.612326507E+05   2.825850091E+03   0.000000000E+00   3.167198541E+03   1.487453628E+01   1.487453628E+01   2.977991506E+00   6.107659360E+00
  -9.592669397E+05   2.825850091E+03   0.000000000E+00   3.183423689E+03   1.486375681E+01   1.486375681E+01   2.983449796E+00   6.119523588E+00
  -9.573012288E+05   2.825850091E+03   0.000000000E+00   3.199731957E+03   1.485297120E+01   1.485297120E+01   2.988918091E+00   6.131410863E+00
  -9.553355179E+05   2.825850091E+03   0.000000000E+00   3.216123769E+03   1.484217951E+01   1.484217951E+01   2.994396408E+00   6.143321229E+00
  -9.533698069E+05   2.825850091E+03   0.000000000E+00   3.232599555E+03   1.483138180E+01   1.483138180E+01   2.999884766E+00   6.155254731E+00
  -9.514040960E+05   2.825850091E+03   0.000000000E+00   3.249159744E+03   1.482057812E+01   1.482057812E+01   3.005383184E+00   6.167211415E+00
  -9.494383850E+05   2.825850091E+03   0.000000000E+00   3.265804769E+03   1.480976853E+01   1.480976853E+01   3.010891679E+00   6.179191324E+00
  -9.474726741E+05   2.825850091E+03   0.000000000E+00   3.282535064E+03   1.479895308E+01   1.479895308E+01   3.016410271E+00   6.191194504E+00
  -9.455069631E+05   2.825850091E+03   0.000000000E+00   3.299351066E+03   1.478813184E+01   1.478813184E+01   3.021938978E+00   6.203221001E+00
  -9.435412522E+05   2.825850091E+03   0.000000000E+00   3.316253215E+03   1.477730487E+01   1.477730487E+01   3.027477819E+00   6.215270860E+00
  -9.415755413E+05   2.825850091E+03   0.000000000E+00   3.333241951E+03   1.476647221E+01   1.476647221E+01   3.033026811E+00   6.227344125E+00
  -9.396098303E+05   2.825850091E+03   0.000000000E+00   3.350317718E+03   1.475563394E+01   1.475563394E+01   3.038585974E+00   6.239440843E+00
  -9.376441194E+05   2.825850091E+03   0.000000000E+00   3.367480962E+03   1.474479011E+01   1.474479011E+01   3.044155326E+00   6.251561060E+00
  -9.356784084E+05   2.825850091E+03   0.000000000E+00   3.384732131E+03   1.473394078E+01   1.473394078E+01   3.049734887E+00   6.263704820E+00
  -9.337126975E+05   2.825850091E+03   0.000000000E+00   3.402071676E+03   1.472308601E+01   1.472308601E+01   3.055324674E+00   6.275872169E+00
  -9.317469865E+05   2.825850091E+03   0.000000000E+00   3.419500048E+03   1.471222587E+01   1.471222587E+01   3.060924706E+00   6.288063153E+00
  -9.297812756E+05   2.825850091E+03   0.000000000E+00   3.437017705E+03   1.470136041E+01   1.470136041E+01   3.066535002E+00   6.300277819E+00
  -9.278155647E+05   2.825850091E+03   0.000000000E+00   3.454625101E+03   1.469048970E+01   1.469048970E+01   3.072155582E+00   6.312516212E+00
  -9.258498537E+05   2.825850091E+03   0.000000000E+00   3.472322699E+03   1.467961380E+01   1.467961380E+01   3.077786463E+00   6.324778378E+00
  -9.238841428E+05   2.825850091E+03   0.000000000E+00   3.490110958E+03   1.466873278E+01   1.466873278E+01   3.083427665E+00   6.337064364E+00
  -9.219184318E+05   2.825850091E+03   0.000000000E+00   3.507990345E+03   1.465784669E+01   1.465784669E+01   3.089079206E+00   6.349374216E+00
  -9.199527209E+05   2.825850091E+03   0.000000000E+00   3.525961325E+03   1.464695560E+01   1.464695560E+01   3.094741106E+00   6.361707979E+00
  -9.179870100E+05   2.825850091E+03   0.000000000E+00   3.544024369E+03   1.463605958E+01   1.463605958E+01   3.100413384E+00   6.374065701E+00
  -9.160212990E+05   2.825850091E+03   0.000000000E+00   3.562179947E+03   1.462515869E+01   1.462515869E+01   3.106096058E+00   6.386447428E+00
  -9.140555881E+05   2.825850091E+03   0.000000000E+00   3.580428534E+03   1.461425300E+01   1.461425300E+01   3.111789148E+00   6.398853207E+00
  -9.120898771E+05   2.825850091E+03   0.000000000E+00   3.598770606E+03   1.460334257E+01   1.460334257E+01   3.117492673E+00   6.411283085E+00
  -9.101241662E+05   2.825850091E+03   0.000000000E+00   3.617206642E+03   1.459242747E+01   1.459242747E+01   3.123206651E+00   6.423737107E+00
  -9.081584552E+05   2.825850091E+03   0.000000000E+00   3.635737123E+03   1.458150776E+01   1.458150776E+01   3.128931103E+00   6.436215322E+00
  -9.061927443E+05   2.825850091E+03   0.000000000E+00   3.654362534E+03   1.457058352E+01   1.457058352E+01   3.134666047E+00   6.448717775E+00
  -9.042270334E+05   2.825850091E+03   0.000000000E+00   3.673083360E+03   1.455965482E+01   1.455965482E+01   3.140411502E+00   6.461244516E+00
  -9.022613224E+05   2.825850091E+03   0.000000000E+00   3.691900091E+03   1.454872171E+01   1.454872171E+01   3.146167488E+00   6.473795589E+00
  -9.002956115E+05   2.825850091E+03   0.000000000E+00   3.710813217E+03   1.453778427E+01   1.453778427E+01   3.151934023E+00   6.486371043E+00
  -8.983299005E+05   2.825850091E+03   0.000000000E+00   3.729823233E+03   1.452684258E+01   1.452684258E+01   3.157711129E+00   6.498970925E+00
  -8.963641896E+05   2.825850091E+03   0.000000000E+00   3.748930634E+03   1.451589669E+01   1.451589669E+01   3.163498823E+00   6.511595283E+00
  -8.943984786E+05   2.825850091E+03   0.000000000E+00   3.768135921E+03   1.450494669E+01   1.450494669E+01   3.169297125E+00   6.524244163E+00
  -8.924327677E+05   2.825850091E+03   0.000000000E+00   3.787439593E+03   1.449399263E+01   1.449399263E+01   3.175106054E+00   6.536917615E+00
  -8.904670568E+05   2.825850091E+03   0.000000000E+00   3.806842156E+03   1.448303461E+01   1.448303461E+01   3.180925631E+00   6.549615684E+00
  -8.885013458E+05   2.825850091E+03   0.000000000E+00   3.826344116E+03   1.447207267E+01   1.447207267E+01   3.186755874E+00   6.562338420E+00
  -8.865356349E+05   2.825850091E+03   0.000000000E+00   3.845945981E+03   1.446110691E+01   1.446110691E+01   3.192596804E+00   6.575085870E+00
  -8.845699239E+05   2.825850091E+03   0.000000000E+00   3.865648265E+03   1.445013739E+01   1.445013739E+01   3.198448439E+00   6.587858082E+00
  -8.826042130E+05   2.825850091E+03   0.000000000E+00   3.885451481E+03   1.443916419E+01   1.443916419E+01   3.204310799E+00   6.600655105E+00
  -8.806385021E+05   2.825850091E+03   0.000000000E+00   3.905356146E+03   1.442818737E+01   1.442818737E+01   3.210183905E+00   6.613476985E+00
  -8.786727911E+05   2.825850091E+03   0.000000000E+00   3.925362780E+03   1.441720703E+01   1.441720703E+01   3.216067775E+00   6.626323773E+00
  -8.767070802E+05   2.825850091E+03   0.000000000E+00   3.945471905E+03   1.440622322E+01   1.440622322E+01   3.221962429E+00   6.639195515E+00
  -8.747413692E+05   2.825850091E+03   0.000000000E+00   3.965684047E+03   1.439523603E+01   1.439523603E+01   3.227867888E+00   6.652092262E+00
  -8.727756583E+05   2.825850091E+03   0.000000000E+00   3.985999733E+03   1.438424554E+01   1.438424554E+01   3.233784170E+00   6.665014060E+00
  -8.708099473E+05   2.825850091E+03   0.000000000E+00   4.006419494E+03   1.437325182E+01   1.437325182E+01   3.239711297E+00   6.677960959E+00
  -8.688442364E+05   2.825850091E+03   0.000000000E+00   4.026943862E+03   1.436225495E+01   1.436225495E+01   3.245649287E+00   6.690933008E+00
  -8.668785255E+05   2.825850091E+03   0.000000000E+00   4.047573374E+03   1.435125501E+01   1.435125501E+01   3.251598161E+00   6.703930255E+00
  -8.649128145E+05   2.825850091E+03   0.000000000E+00   4.068308569E+03   1.434025207E+01   1.434025207E+01   3.257557938E+00   6.716952749E+00
  -8.629471036E+05   2.825850091E+03   0.000000000E+00   4.089149987E+03   1.432924622E+01   1.432924622E+01   3.263528639E+00   6.730000540E+00
  -8.609813926E+05   2.825850091E+03   0.000000000E+00   4.110098173E+03   1.431823754E+01   1.431823754E+01   3.269510283E+00   6.743073677E+00
  -8.590156817E+05   2.825850091E+03   0.000000000E+00   4.131153674E+03   1.430722610E+01   1.430722610E+01   3.275502891E+00   6.756172208E+00
  -8.570499707E+05   2.825850091E+03   0.000000000E+00   4.152317040E+03   1.429621200E+01   1.429621200E+01   3.281506483E+00   6.769296183E+00
  -8.550842598E+05   2.825850091E+03   0.000000000E+00   4.173588822E+03   1.428519531E+01   1.428519531E+01   3.287521078E+00   6.782445652E+00
  -8.531185489E+05   2.825850091E+03   0.000000000E+00   4.194969578E+03   1.427417610E+01   1.427417610E+01   3.293546698E+00   6.795620664E+00
  -8.511528379E+05   2.825850091E+03   0.000000000E+00   4.216459864E+03   1.426315448E+01   1.426315448E+01   3.299583361E+00   6.808821268E+00
  -8.491871270E+05   2.825850091E+03   0.000000000E+00   4.238060242E+03   1.425213052E+01   1.425213052E+01   3.305631090E+00   6.822047515E+00
  -8.472214160E+05   2.825850091E+03   0.000000000E+00   4.259771276E+03   1.424110430E+01   1.424110430E+01   3.311689903E+00   6.835299454E+00
  -8.452557051E+05   2.825850091E+03   0.000000000E+00   4.281593533E+03   1.423007591E+01   1.423007591E+01   3.317759821E+00   6.848577136E+00
  -8.432899942E+05   2.825850091E+03   0.000000000E+00   4.303527582E+03   1.421904543E+01   1.421904543E+01   3.323840864E+00   6.861880609E+00
  -8.413242832E+05   2.825850091E+03   0.000000000E+00   4.325573997E+03   1.420801296E+01   1.420801296E+01   3.329933053E+00   6.875209925E+00
  -8.393585723E+05   2.825850091E+03   0.000000000E+00   4.347733353E+03   1.419697857E+01   1.419697857E+01   3.336036409E+00   6.888565133E+00
  -8.373928613E+05   2.825850091E+03   0.000000000E+00   4.370006228E+03   1.418594236E+01   1.418594236E+01   3.342150951E+00   6.901946283E+00
  -8.354271504E+05   2.825850091E+03   0.000000000E+00   4.392393204E+03   1.417490441E+01   1.417490441E+01   3.348276700E+00   6.915353427E+00
  -8.334614394E+05   2.825850091E+03   0.000000000E+00   4.414894866E+03   1.416386482E+01   1.416386482E+01   3.354413677E+00   6.928786615E+00
  -8.314957285E+05   2.825850091E+03   0.000000000E+00   4.437511801E+03   1.415282366E+01   1.415282366E+01   3.360561903E+00   6.942245896E+00
  -8.295300176E+05   2.825850091E+03   0.000000000E+00   4.460244600E+03   1.414178104E+01   1.414178104E+01   3.366721397E+00   6.955731323E+00
  -8.275643066E+05   2.825850091E+03   0.000000000E+00   4.483093855E+03   1.413073703E+01   1.413073703E+01   3.372892181E+00   6.969242945E+00
  -8.255985957E+05   2.825850091E+03   0.000000000E+00   4.506060165E+03   1.411969175E+01   1.411969175E+01   3.379074275E+00   6.982780814E+00
  -8.236328847E+05   2.825850091E+03   0.000000000E+00   4.529144128E+03   1.410864526E+01   1.410864526E+01   3.385267700E+00   6.996344980E+00
  -8.216671738E+05   2.825850091E+03   0.000000000E+00   4.552346347E+03   1.409759767E+01   1.409759767E+01   3.391472477E+00   7.009935495E+00
  -8.197014628E+05   2.825850091E+03   0.000000000E+00   4.575667428E+03   1.408654907E+01   1.408654907E+01   3.397688627E+00   7.023552409E+00
