! Initial radius: 1.1624E+03 AU
! Number of timesteps:    1263
!    Time (yr)         Radius (AU)        v (km/s)         nH (cm-3)           Td (K)           Tg (K)           Avrad (mag)       Avobs (mag)
  -9.828554710E+05   1.162350768E+03   0.000000000E+00   3.000000000E+03   1.489913522E+01   1.489913522E+01   2.965561215E+00   5.991921234E+00
  -9.808897601E+05   1.162350768E+03   0.000000000E+00   3.014413235E+03   1.488791754E+01   1.488791754E+01   2.971225308E+00   6.003648299E+00
  -9.789240492E+05   1.162350768E+03   0.000000000E+00   3.029903988E+03   1.487669307E+01   1.487669307E+01   2.976900219E+00   6.015398315E+00
  -9.769583382E+05   1.162350768E+03   0.000000000E+00   3.045474346E+03   1.486546186E+01   1.486546186E+01   2.982585969E+00   6.027171328E+00
  -9.749926273E+05   1.162350768E+03   0.000000000E+00   3.061124719E+03   1.485422398E+01   1.485422398E+01   2.988282578E+00   6.038967382E+00
  -9.730269163E+05   1.162350768E+03   0.000000000E+00   3.076855518E+03   1.484297949E+01   1.484297949E+01   2.993990068E+00   6.050786523E+00
  -9.710612054E+05   1.162350768E+03   0.000000000E+00   3.092667155E+03   1.483172845E+01   1.483172845E+01   2.999708458E+00   6.062628796E+00
  -9.690954944E+05   1.162350768E+03   0.000000000E+00   3.108560047E+03   1.482047093E+01   1.482047093E+01   3.005437771E+00   6.074494246E+00
  -9.671297835E+05   1.162350768E+03   0.000000000E+00   3.124534611E+03   1.480920699E+01   1.480920699E+01   3.011178026E+00   6.086382918E+00
  -9.651640726E+05   1.162350768E+03   0.000000000E+00   3.140591266E+03   1.479793671E+01   1.479793671E+01   3.016929245E+00   6.098294858E+00
  -9.631983616E+05   1.162350768E+03   0.000000000E+00   3.156730435E+03   1.478666013E+01   1.478666013E+01   3.022691449E+00   6.110230112E+00
  -9.612326507E+05   1.162350768E+03   0.000000000E+00   3.172952541E+03   1.477537734E+01   1.477537734E+01   3.028464658E+00   6.122188725E+00
  -9.592669397E+05   1.162350768E+03   0.000000000E+00   3.189258011E+03   1.476408839E+01   1.476408839E+01   3.034248893E+00   6.134170742E+00
  -9.573012288E+05   1.162350768E+03   0.000000000E+00   3.205647273E+03   1.475279335E+01   1.475279335E+01   3.040044177E+00   6.146176210E+00
  -9.553355179E+05   1.162350768E+03   0.000000000E+00   3.222120758E+03   1.474149230E+01   1.474149230E+01   3.045850529E+00   6.158205174E+00
  -9.533698069E+05   1.162350768E+03   0.000000000E+00   3.238678898E+03   1.473018530E+01   1.473018530E+01   3.051667970E+00   6.170257681E+00
