Nsteps =      412
! r (AU)     t (yr)   nH (cm-3)  Tgas (K)   Tdust (K)   Av (mag)
0.0000000E+00  1.3912812E+05  1.0000000E+04  6.2040288E+01  1.5273703E+01  1.8217172E+00
0.0000000E+00  1.4180907E+05  1.0000000E+04  6.1270694E+01  1.5232710E+01  1.8471861E+00
0.0000000E+00  1.4449001E+05  1.0000000E+04  6.0435049E+01  1.5187820E+01  1.8726551E+00
0.0000000E+00  1.4717096E+05  1.0000000E+04  5.9619306E+01  1.5143614E+01  1.8981241E+00
0.0000000E+00  1.4985190E+05  1.0000000E+04  5.8823261E+01  1.5100081E+01  1.9235931E+00
0.0000000E+00  1.5253285E+05  1.0000000E+04  5.8046573E+01  1.5057212E+01  1.9490620E+00
0.0000000E+00  1.5521379E+05  1.0000000E+04  5.7102801E+01  1.5004544E+01  1.9745310E+00
0.0000000E+00  1.5789474E+05  1.0000000E+04  5.6413301E+01  1.4965703E+01  2.0000000E+00
0.0000000E+00  1.6052632E+05  1.0000000E+04  5.5740253E+01  1.4927418E+01  2.0250000E+00
0.0000000E+00  1.6315789E+05  1.0000000E+04  5.5082919E+01  1.4889683E+01  2.0500000E+00
0.0000000E+00  1.6578947E+05  1.0000000E+04  5.4440967E+01  1.4852490E+01  2.0750000E+00
0.0000000E+00  1.6842105E+05  1.0000000E+04  5.3814080E+01  1.4815831E+01  2.1000000E+00
0.0000000E+00  1.7105263E+05  1.0000000E+04  5.3201930E+01  1.4779700E+01  2.1250000E+00
0.0000000E+00  1.7368421E+05  1.0000000E+04  5.2604187E+01  1.4744090E+01  2.1500000E+00
0.0000000E+00  1.7631579E+05  1.0000000E+04  5.2020514E+01  1.4708992E+01  2.1750000E+00
0.0000000E+00  1.7894737E+05  1.0000000E+04  5.1171028E+01  1.4657294E+01  2.2000000E+00
0.0000000E+00  1.8157895E+05  1.0000000E+04  5.0350878E+01  1.4606712E+01  2.2250000E+00
0.0000000E+00  1.8421053E+05  1.0000000E+04  4.9754339E+01  1.4569495E+01  2.2500000E+00
0.0000000E+00  1.8684211E+05  1.0000000E+04  4.9173775E+01  1.4532885E+01  2.2750000E+00
0.0000000E+00  1.8947368E+05  1.0000000E+04  4.8608413E+01  1.4496871E+01  2.3000000E+00
0.0000000E+00  1.9210526E+05  1.0000000E+04  4.8057815E+01  1.4461446E+01  2.3250000E+00
0.0000000E+00  1.9473684E+05  1.0000000E+04  4.6999883E+01  1.4392323E+01  2.3500000E+00
0.0000000E+00  1.9736842E+05  1.0000000E+04  4.5995697E+01  1.4325447E+01  2.3750000E+00
0.0000000E+00  2.0000000E+05  1.0000000E+04  4.5096104E+01  1.4264408E+01  2.4000000E+00
0.0000000E+00  2.0263158E+05  1.0000000E+04  4.4449157E+01  1.4219865E+01  2.4250000E+00
0.0000000E+00  2.0526316E+05  1.0000000E+04  4.3826043E+01  1.4176356E+01  2.4500000E+00
0.0000000E+00  2.0789474E+05  1.0000000E+04  4.3225145E+01  1.4133859E+01  2.4750000E+00
0.0000000E+00  2.1052632E+05  1.0000000E+04  4.2645476E+01  1.4092352E+01  2.5000000E+00
0.0000000E+00  2.1315789E+05  1.0000000E+04  4.1904209E+01  1.4038510E+01  2.5250000E+00
0.0000000E+00  2.1578947E+05  1.0000000E+04  4.0853815E+01  1.3960862E+01  2.5500000E+00
0.0000000E+00  2.1842105E+05  1.0000000E+04  3.9871268E+01  1.3886805E+01  2.5750000E+00
0.0000000E+00  2.2105263E+05  1.0000000E+04  3.8652823E+01  1.3793373E+01  2.6000000E+00
