Nsteps =      439
! r (AU)     t (yr)   nH (cm-3)  Tgas (K)   Tdust (K)   Av (mag)
0.0000000E+00  1.2490389E+05  1.0000000E+04  8.6772174E+01  1.6467505E+01  1.3365485E+00
0.0000000E+00  1.2751888E+05  1.0000000E+04  8.5071119E+01  1.6391110E+01  1.3624369E+00
0.0000000E+00  1.3013386E+05  1.0000000E+04  8.3618326E+01  1.6325431E+01  1.3883252E+00
0.0000000E+00  1.3274884E+05  1.0000000E+04  8.2200468E+01  1.6260818E+01  1.4142136E+00
0.0000000E+00  1.3532147E+05  1.0000000E+04  8.0986370E+01  1.6205141E+01  1.4396825E+00
0.0000000E+00  1.3789409E+05  1.0000000E+04  7.9798018E+01  1.6150251E+01  1.4651515E+00
0.0000000E+00  1.4046672E+05  1.0000000E+04  7.7777753E+01  1.6056053E+01  1.4906205E+00
0.0000000E+00  1.4303934E+05  1.0000000E+04  7.6071501E+01  1.5975526E+01  1.5160895E+00
0.0000000E+00  1.4561196E+05  1.0000000E+04  7.4419359E+01  1.5896724E+01  1.5415584E+00
0.0000000E+00  1.4818459E+05  1.0000000E+04  7.3214696E+01  1.5838731E+01  1.5670274E+00
0.0000000E+00  1.5075721E+05  1.0000000E+04  7.2040271E+01  1.5781670E+01  1.5924964E+00
0.0000000E+00  1.5332984E+05  1.0000000E+04  7.0332519E+01  1.5697792E+01  1.6179654E+00
0.0000000E+00  1.5590246E+05  1.0000000E+04  6.9092939E+01  1.5636204E+01  1.6434343E+00
0.0000000E+00  1.5847508E+05  1.0000000E+04  6.7886906E+01  1.5575727E+01  1.6689033E+00
0.0000000E+00  1.6104771E+05  1.0000000E+04  6.6713868E+01  1.5516338E+01  1.6943723E+00
0.0000000E+00  1.6362033E+05  1.0000000E+04  6.5572931E+01  1.5458019E+01  1.7198413E+00
0.0000000E+00  1.6619295E+05  1.0000000E+04  6.4451370E+01  1.5400130E+01  1.7453102E+00
0.0000000E+00  1.6876558E+05  1.0000000E+04  6.3629979E+01  1.5357405E+01  1.7707792E+00
0.0000000E+00  1.7133820E+05  1.0000000E+04  6.2826630E+01  1.5315266E+01  1.7962482E+00
0.0000000E+00  1.7391083E+05  1.0000000E+04  6.2040288E+01  1.5273703E+01  1.8217172E+00
0.0000000E+00  1.7648345E+05  1.0000000E+04  6.1270694E+01  1.5232710E+01  1.8471861E+00
