! Nsteps =   422   
! r (AU)     t (yr)   nH (cm-3)  Tgas (K)   Tdust (K)   Av (mag)
0.000E+00  1.662E+05  1.000E+04  6.445E+01  1.540E+01  1.745E+00
0.000E+00  1.688E+05  1.000E+04  6.363E+01  1.536E+01  1.771E+00
0.000E+00  1.713E+05  1.000E+04  6.283E+01  1.532E+01  1.796E+00
0.000E+00  1.739E+05  1.000E+04  6.204E+01  1.527E+01  1.822E+00
0.000E+00  1.765E+05  1.000E+04  6.127E+01  1.523E+01  1.847E+00
0.000E+00  1.791E+05  1.000E+04  6.044E+01  1.519E+01  1.873E+00
0.000E+00  1.816E+05  1.000E+04  5.962E+01  1.514E+01  1.898E+00
0.000E+00  1.842E+05  1.000E+04  5.882E+01  1.510E+01  1.924E+00
0.000E+00  1.868E+05  1.000E+04  5.805E+01  1.506E+01  1.949E+00
0.000E+00  1.893E+05  1.000E+04  5.710E+01  1.500E+01  1.975E+00
0.000E+00  1.919E+05  1.000E+04  5.641E+01  1.497E+01  2.000E+00
0.000E+00  1.944E+05  1.000E+04  5.574E+01  1.493E+01  2.025E+00
0.000E+00  1.970E+05  1.000E+04  5.508E+01  1.489E+01  2.050E+00
0.000E+00  1.995E+05  1.000E+04  5.444E+01  1.485E+01  2.075E+00
0.000E+00  2.020E+05  1.000E+04  5.381E+01  1.482E+01  2.100E+00
0.000E+00  2.045E+05  1.000E+04  5.320E+01  1.478E+01  2.125E+00
0.000E+00  2.071E+05  1.000E+04  5.260E+01  1.474E+01  2.150E+00
0.000E+00  2.096E+05  1.000E+04  5.202E+01  1.471E+01  2.175E+00
0.000E+00  2.121E+05  1.000E+04  5.117E+01  1.466E+01  2.200E+00
0.000E+00  2.146E+05  1.000E+04  5.035E+01  1.461E+01  2.225E+00
0.000E+00  2.172E+05  1.000E+04  4.975E+01  1.457E+01  2.250E+00
0.000E+00  2.197E+05  1.000E+04  4.917E+01  1.453E+01  2.275E+00
0.000E+00  2.222E+05  1.000E+04  4.861E+01  1.450E+01  2.300E+00
0.000E+00  2.247E+05  1.000E+04  4.806E+01  1.446E+01  2.325E+00
0.000E+00  2.273E+05  1.000E+04  4.700E+01  1.439E+01  2.350E+00
0.000E+00  2.298E+05  1.000E+04  4.600E+01  1.433E+01  2.375E+00
0.000E+00  2.323E+05  1.000E+04  4.510E+01  1.426E+01  2.400E+00
0.000E+00  2.348E+05  1.000E+04  4.445E+01  1.422E+01  2.425E+00
0.000E+00  2.374E+05  1.000E+04  4.383E+01  1.418E+01  2.450E+00
0.000E+00  2.399E+05  1.000E+04  4.323E+01  1.413E+01  2.475E+00
0.000E+00  2.424E+05  1.000E+04  4.265E+01  1.409E+01  2.500E+00
